Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Test_Score
sinus_forecasting,small,1000,967,0,regression,0.38269453167607004
sinus_forecasting,small,1000,967,1,regression,0.4160968447450566
sinus_forecasting,small,1000,967,2,regression,0.397083983823079
sinus_forecasting,small,1000,967,3,regression,0.3358195403452848
sinus_forecasting,small,1000,967,4,regression,0.39585304605855615
discrete_postcasting,small,1000,978,0,classification,0.5255555555555556
discrete_postcasting,small,1000,978,1,classification,0.5244444444444445
discrete_postcasting,small,1000,978,2,classification,0.5606666666666666
discrete_postcasting,small,1000,978,3,classification,0.5635555555555556
discrete_postcasting,small,1000,978,4,classification,0.5017777777777778
bracket_matching,small,1000,964,0,classification,0.43000000000000005
bracket_matching,small,1000,964,1,classification,0.49
bracket_matching,small,1000,964,2,classification,0.49
bracket_matching,small,1000,964,3,classification,0.43999999999999995
bracket_matching,small,1000,964,4,classification,0.48
