Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
GRU,cross_situation,small,1000,948,0,multi_classification,1.0,1.0
GRU,cross_situation,small,1000,948,1,multi_classification,1.0,1.0
GRU,cross_situation,small,1000,948,2,multi_classification,1.0,1.0
GRU,cross_situation,small,1000,948,3,multi_classification,1.0,1.0
GRU,cross_situation,small,1000,948,4,multi_classification,1.0,1.0
GRU,cross_situation,small,1000,948,5,multi_classification,1.0,1.0
GRU,cross_situation,small,1000,948,6,multi_classification,1.0,1.0
GRU,cross_situation,small,1000,948,7,multi_classification,1.0,1.0
GRU,cross_situation,small,1000,948,8,multi_classification,1.0,1.0
GRU,cross_situation,small,1000,948,9,multi_classification,1.0,1.0
GRU,cross_situation,small,10000,9954,0,multi_classification,1.0,1.0
GRU,cross_situation,small,10000,9954,1,multi_classification,1.0,1.0
GRU,cross_situation,small,10000,9954,2,multi_classification,1.0,1.0
GRU,cross_situation,small,10000,9954,3,multi_classification,0.95,1.0
GRU,cross_situation,small,10000,9954,4,multi_classification,1.0,1.0
GRU,cross_situation,small,10000,9954,5,multi_classification,1.0,1.0
GRU,cross_situation,small,10000,9954,6,multi_classification,0.95,1.0
GRU,cross_situation,small,10000,9954,7,multi_classification,1.0,1.0
GRU,cross_situation,small,10000,9954,8,multi_classification,1.0,1.0
GRU,cross_situation,small,10000,9954,9,multi_classification,1.0,1.0
GRU,cross_situation,small,100000,99606,0,multi_classification,1.0,1.0
GRU,cross_situation,small,100000,99606,1,multi_classification,1.0,1.0
GRU,cross_situation,small,100000,99606,2,multi_classification,1.0,1.0
GRU,cross_situation,small,100000,99606,3,multi_classification,1.0,1.0
GRU,cross_situation,small,100000,99606,4,multi_classification,1.0,1.0
GRU,cross_situation,small,100000,99606,5,multi_classification,1.0,1.0
GRU,cross_situation,small,100000,99606,6,multi_classification,1.0,1.0
GRU,cross_situation,small,100000,99606,7,multi_classification,1.0,1.0
GRU,cross_situation,small,100000,99606,8,multi_classification,1.0,1.0
GRU,cross_situation,small,100000,99606,9,multi_classification,1.0,1.0
GRU,cross_situation,medium,1000,948,0,multi_classification,1.0,1.0
GRU,cross_situation,medium,1000,948,1,multi_classification,1.0,1.0
GRU,cross_situation,medium,1000,948,2,multi_classification,1.0,1.0
GRU,cross_situation,medium,1000,948,3,multi_classification,1.0,1.0
GRU,cross_situation,medium,1000,948,4,multi_classification,1.0,1.0
GRU,cross_situation,medium,1000,948,5,multi_classification,1.0,1.0
GRU,cross_situation,medium,1000,948,6,multi_classification,1.0,1.0
GRU,cross_situation,medium,1000,948,7,multi_classification,1.0,1.0
GRU,cross_situation,medium,1000,948,8,multi_classification,1.0,1.0
GRU,cross_situation,medium,1000,948,9,multi_classification,1.0,1.0
GRU,cross_situation,medium,10000,9840,0,multi_classification,1.0,1.0
GRU,cross_situation,medium,10000,9840,1,multi_classification,1.0,1.0
GRU,cross_situation,medium,10000,9840,2,multi_classification,1.0,1.0
GRU,cross_situation,medium,10000,9840,3,multi_classification,1.0,1.0
GRU,cross_situation,medium,10000,9840,4,multi_classification,1.0,1.0
GRU,cross_situation,medium,10000,9840,5,multi_classification,1.0,1.0
GRU,cross_situation,medium,10000,9840,6,multi_classification,1.0,1.0
