Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
LSTM,cross_situation,small,1000,898,0,multi_classification,1.0,1.0
LSTM,cross_situation,small,1000,898,1,multi_classification,1.0,1.0
LSTM,cross_situation,small,1000,898,2,multi_classification,1.0,1.0
LSTM,cross_situation,small,1000,898,3,multi_classification,1.0,1.0
LSTM,cross_situation,small,1000,898,4,multi_classification,1.0,1.0
LSTM,cross_situation,small,1000,898,5,multi_classification,1.0,1.0
LSTM,cross_situation,small,1000,898,6,multi_classification,1.0,1.0
LSTM,cross_situation,small,1000,898,7,multi_classification,1.0,1.0
LSTM,cross_situation,small,1000,898,8,multi_classification,1.0,1.0
LSTM,cross_situation,small,1000,898,9,multi_classification,1.0,1.0
LSTM,cross_situation,small,10000,9940,0,multi_classification,1.0,1.0
LSTM,cross_situation,small,10000,9940,1,multi_classification,1.0,1.0
LSTM,cross_situation,small,10000,9940,2,multi_classification,1.0,1.0
LSTM,cross_situation,small,10000,9940,3,multi_classification,1.0,1.0
LSTM,cross_situation,small,10000,9940,4,multi_classification,1.0,1.0
LSTM,cross_situation,small,10000,9940,5,multi_classification,1.0,1.0
LSTM,cross_situation,small,10000,9940,6,multi_classification,1.0,1.0
LSTM,cross_situation,small,10000,9940,7,multi_classification,1.0,1.0
LSTM,cross_situation,small,10000,9940,8,multi_classification,1.0,1.0
LSTM,cross_situation,small,10000,9940,9,multi_classification,1.0,1.0
LSTM,cross_situation,small,100000,100444,0,multi_classification,1.0,1.0
LSTM,cross_situation,small,100000,100444,1,multi_classification,1.0,1.0
LSTM,cross_situation,small,100000,100444,2,multi_classification,1.0,1.0
LSTM,cross_situation,small,100000,100444,3,multi_classification,1.0,1.0
LSTM,cross_situation,small,100000,100444,4,multi_classification,1.0,1.0
LSTM,cross_situation,small,100000,100444,5,multi_classification,1.0,1.0
LSTM,cross_situation,small,100000,100444,6,multi_classification,1.0,1.0
LSTM,cross_situation,small,100000,100444,7,multi_classification,1.0,1.0
LSTM,cross_situation,small,100000,100444,8,multi_classification,1.0,1.0
LSTM,cross_situation,small,100000,100444,9,multi_classification,1.0,1.0
LSTM,cross_situation,medium,1000,1008,0,multi_classification,1.0,1.0
LSTM,cross_situation,medium,1000,1008,1,multi_classification,1.0,1.0
LSTM,cross_situation,medium,1000,1008,2,multi_classification,1.0,1.0
LSTM,cross_situation,medium,1000,1008,3,multi_classification,1.0,1.0
