Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
LSTM,cross_situation,small,1000,898,0,multi_classification,0.47777777777777775,0.6938888888888889
LSTM,cross_situation,small,1000,898,1,multi_classification,0.5388888888888889,0.6944444444444444
LSTM,cross_situation,small,1000,898,2,multi_classification,0.3138888888888889,0.6911111111111111
LSTM,cross_situation,small,1000,898,3,multi_classification,0.2944444444444444,0.6977777777777778
LSTM,cross_situation,small,1000,898,4,multi_classification,0.6333333333333333,0.6938888888888889
LSTM,cross_situation,small,1000,898,5,multi_classification,0.3138888888888889,0.6994444444444444
LSTM,cross_situation,small,1000,898,6,multi_classification,0.2944444444444444,0.6972222222222222
LSTM,cross_situation,small,1000,898,7,multi_classification,0.2833333333333333,0.6983333333333333
LSTM,cross_situation,small,1000,898,8,multi_classification,0.3222222222222222,0.6972222222222222
LSTM,cross_situation,small,1000,898,9,multi_classification,0.2944444444444444,0.7022222222222223
LSTM,cross_situation,small,10000,9940,0,multi_classification,0.2833333333333333,0.6938888888888889
LSTM,cross_situation,small,10000,9940,1,multi_classification,0.3027777777777778,0.6944444444444444
LSTM,cross_situation,small,10000,9940,2,multi_classification,0.30833333333333335,0.6911111111111111
LSTM,cross_situation,small,10000,9940,3,multi_classification,0.28888888888888886,0.6977777777777778
LSTM,cross_situation,small,10000,9940,4,multi_classification,0.2972222222222223,0.6938888888888889
LSTM,cross_situation,small,10000,9940,5,multi_classification,0.27222222222222225,0.6994444444444444
LSTM,cross_situation,small,10000,9940,6,multi_classification,0.275,0.6972222222222222
LSTM,cross_situation,small,10000,9940,7,multi_classification,0.27222222222222225,0.6983333333333333
LSTM,cross_situation,small,10000,9940,8,multi_classification,0.30833333333333335,0.6972222222222222
LSTM,cross_situation,small,10000,9940,9,multi_classification,0.2861111111111111,0.7022222222222223
LSTM,cross_situation,small,100000,100444,0,multi_classification,0.2833333333333333,0.6938888888888889
LSTM,cross_situation,small,100000,100444,1,multi_classification,0.3222222222222222,0.6944444444444444
LSTM,cross_situation,small,100000,100444,2,multi_classification,0.2861111111111111,0.6911111111111111
LSTM,cross_situation,small,100000,100444,3,multi_classification,0.2944444444444444,0.6977777777777778
LSTM,cross_situation,small,100000,100444,4,multi_classification,0.29166666666666663,0.6938888888888889
LSTM,cross_situation,small,100000,100444,5,multi_classification,0.2583333333333333,0.6994444444444444
LSTM,cross_situation,small,100000,100444,6,multi_classification,0.275,0.6972222222222222
LSTM,cross_situation,small,100000,100444,7,multi_classification,0.2777777777777778,0.6983333333333333
LSTM,cross_situation,small,100000,100444,8,multi_classification,0.2972222222222223,0.6972222222222222
LSTM,cross_situation,small,100000,100444,9,multi_classification,0.3027777777777778,0.7022222222222223
LSTM,cross_situation,medium,1000,1008,0,multi_classification,0.20303571428571432,0.7974642857142857
LSTM,cross_situation,medium,1000,1008,1,multi_classification,0.2025,0.7970714285714285
LSTM,cross_situation,medium,1000,1008,2,multi_classification,0.20410714285714282,0.7975
LSTM,cross_situation,medium,1000,1008,3,multi_classification,0.20392857142857146,0.7969285714285714
LSTM,cross_situation,medium,1000,1008,4,multi_classification,0.20375,0.7969285714285714
LSTM,cross_situation,medium,1000,1008,5,multi_classification,0.20553571428571427,0.7966428571428572
LSTM,cross_situation,medium,1000,1008,6,multi_classification,0.20446428571428577,0.7980714285714285
LSTM,cross_situation,medium,1000,1008,7,multi_classification,0.20375,0.7972142857142857
LSTM,cross_situation,medium,1000,1008,8,multi_classification,0.2019642857142857,0.7970357142857143
LSTM,cross_situation,medium,1000,1008,9,multi_classification,0.2025,0.7965357142857143
LSTM,cross_situation,medium,10000,10060,0,multi_classification,0.20303571428571432,0.7974642857142857
LSTM,cross_situation,medium,10000,10060,1,multi_classification,0.2025,0.7970714285714285
LSTM,cross_situation,medium,10000,10060,2,multi_classification,0.0128571428571429,0.012071428571428622
LSTM,cross_situation,medium,10000,10060,3,multi_classification,0.011785714285714288,0.012142857142857122
LSTM,cross_situation,medium,10000,10060,4,multi_classification,0.20375,0.7969285714285714
LSTM,cross_situation,medium,10000,10060,5,multi_classification,0.20553571428571427,0.7966428571428572
LSTM,cross_situation,medium,10000,10060,6,multi_classification,0.20446428571428577,0.7980714285714285
LSTM,cross_situation,medium,10000,10060,7,multi_classification,0.20375,0.7972142857142857
LSTM,cross_situation,medium,10000,10060,8,multi_classification,0.013571428571428568,0.014499999999999957
LSTM,cross_situation,medium,10000,10060,9,multi_classification,0.006785714285714284,0.00642857142857145
LSTM,cross_situation,medium,100000,100368,0,multi_classification,0.003214285714285725,0.0030000000000000027
LSTM,cross_situation,medium,100000,100368,1,multi_classification,0.2025,0.7970714285714285
LSTM,cross_situation,medium,100000,100368,2,multi_classification,0.0028571428571428914,0.0029642857142857526
LSTM,cross_situation,medium,100000,100368,3,multi_classification,0.0030357142857142527,0.0035357142857143087
LSTM,cross_situation,medium,100000,100368,4,multi_classification,0.0035714285714285587,0.0040000000000000036
LSTM,cross_situation,medium,100000,100368,5,multi_classification,0.004285714285714337,0.00460714285714281
LSTM,cross_situation,medium,100000,100368,6,multi_classification,0.20446428571428577,0.7980714285714285
LSTM,cross_situation,medium,100000,100368,7,multi_classification,0.001607142857142807,0.0024285714285714466
LSTM,cross_situation,medium,100000,100368,8,multi_classification,0.0024999999999999467,0.0038928571428571423
LSTM,cross_situation,medium,100000,100368,9,multi_classification,0.0028571428571428914,0.002678571428571419
TRANSFORMER_DECODER,cross_situation,small,1000,634,0,multi_classification,0.3472222222222222,0.6938888888888889
TRANSFORMER_DECODER,cross_situation,small,1000,634,1,multi_classification,0.41666666666666663,0.6944444444444444
TRANSFORMER_DECODER,cross_situation,small,1000,634,2,multi_classification,0.3138888888888889,0.6911111111111111
TRANSFORMER_DECODER,cross_situation,small,1000,634,3,multi_classification,0.38055555555555554,0.6977777777777778
TRANSFORMER_DECODER,cross_situation,small,1000,634,4,multi_classification,0.3111111111111111,0.6938888888888889
TRANSFORMER_DECODER,cross_situation,small,1000,634,5,multi_classification,0.4444444444444444,0.6994444444444444
TRANSFORMER_DECODER,cross_situation,small,1000,634,6,multi_classification,0.30833333333333335,0.6972222222222222
TRANSFORMER_DECODER,cross_situation,small,1000,634,7,multi_classification,0.44999999999999996,0.6983333333333333
TRANSFORMER_DECODER,cross_situation,small,1000,634,8,multi_classification,0.375,0.6972222222222222
TRANSFORMER_DECODER,cross_situation,small,1000,634,9,multi_classification,0.2972222222222223,0.7022222222222223
TRANSFORMER_DECODER,cross_situation,small,10000,8838,0,multi_classification,0.275,0.6938888888888889
TRANSFORMER_DECODER,cross_situation,small,10000,8838,1,multi_classification,0.2972222222222223,0.6944444444444444
TRANSFORMER_DECODER,cross_situation,small,10000,8838,2,multi_classification,0.30833333333333335,0.6911111111111111
TRANSFORMER_DECODER,cross_situation,small,10000,8838,3,multi_classification,0.3222222222222222,0.6977777777777778
TRANSFORMER_DECODER,cross_situation,small,10000,8838,4,multi_classification,0.3111111111111111,0.6938888888888889
TRANSFORMER_DECODER,cross_situation,small,10000,8838,5,multi_classification,0.1333333333333333,0.16388888888888886
TRANSFORMER_DECODER,cross_situation,small,10000,8838,6,multi_classification,0.21944444444444444,0.6972222222222222
TRANSFORMER_DECODER,cross_situation,small,10000,8838,7,multi_classification,0.28055555555555556,0.6983333333333333
TRANSFORMER_DECODER,cross_situation,small,10000,8838,8,multi_classification,0.28888888888888886,0.6972222222222222
TRANSFORMER_DECODER,cross_situation,small,10000,8838,9,multi_classification,0.27222222222222225,0.7022222222222223
TRANSFORMER_DECODER,cross_situation,small,100000,95870,0,multi_classification,0.07777777777777772,0.09944444444444445
TRANSFORMER_DECODER,cross_situation,small,100000,95870,1,multi_classification,0.24722222222222223,0.6944444444444444
TRANSFORMER_DECODER,cross_situation,small,100000,95870,2,multi_classification,0.2944444444444444,0.6911111111111111
TRANSFORMER_DECODER,cross_situation,small,100000,95870,3,multi_classification,0.26388888888888884,0.6977777777777778
TRANSFORMER_DECODER,cross_situation,small,100000,95870,4,multi_classification,0.2583333333333333,0.6938888888888889
TRANSFORMER_DECODER,cross_situation,small,100000,95870,5,multi_classification,0.27222222222222225,0.6994444444444444
TRANSFORMER_DECODER,cross_situation,small,100000,95870,6,multi_classification,0.2777777777777778,0.6972222222222222
TRANSFORMER_DECODER,cross_situation,small,100000,95870,7,multi_classification,0.07499999999999996,0.09333333333333338
TRANSFORMER_DECODER,cross_situation,small,100000,95870,8,multi_classification,0.275,0.6972222222222222
TRANSFORMER_DECODER,cross_situation,small,100000,95870,9,multi_classification,0.09166666666666667,0.07777777777777772
TRANSFORMER_DECODER,cross_situation,medium,1000,708,0,multi_classification,0.20303571428571432,0.7974642857142857
TRANSFORMER_DECODER,cross_situation,medium,1000,708,1,multi_classification,0.19392857142857145,0.7970714285714285
TRANSFORMER_DECODER,cross_situation,medium,1000,708,2,multi_classification,0.19839285714285715,0.7975
TRANSFORMER_DECODER,cross_situation,medium,1000,708,3,multi_classification,0.20392857142857146,0.7969285714285714
TRANSFORMER_DECODER,cross_situation,medium,1000,708,4,multi_classification,0.20375,0.7969285714285714
TRANSFORMER_DECODER,cross_situation,medium,1000,708,5,multi_classification,0.19339285714285714,0.7966428571428572
TRANSFORMER_DECODER,cross_situation,medium,1000,708,6,multi_classification,0.20446428571428577,0.7980714285714285
TRANSFORMER_DECODER,cross_situation,medium,1000,708,7,multi_classification,0.20375,0.7972142857142857
TRANSFORMER_DECODER,cross_situation,medium,1000,708,8,multi_classification,0.18500000000000005,0.7970357142857143
TRANSFORMER_DECODER,cross_situation,medium,1000,708,9,multi_classification,0.19607142857142856,0.7965357142857143
TRANSFORMER_DECODER,cross_situation,medium,10000,9136,0,multi_classification,0.010535714285714315,0.009464285714285703
TRANSFORMER_DECODER,cross_situation,medium,10000,9136,1,multi_classification,0.010000000000000009,0.011249999999999982
TRANSFORMER_DECODER,cross_situation,medium,10000,9136,2,multi_classification,0.012678571428571428,0.012499999999999956
TRANSFORMER_DECODER,cross_situation,medium,10000,9136,3,multi_classification,0.011607142857142816,0.012964285714285761
TRANSFORMER_DECODER,cross_situation,medium,10000,9136,4,multi_classification,0.005357142857142838,0.0071428571428571175
TRANSFORMER_DECODER,cross_situation,medium,10000,9136,5,multi_classification,0.012321428571428594,0.01189285714285715
TRANSFORMER_DECODER,cross_situation,medium,10000,9136,6,multi_classification,0.018035714285714266,0.019928571428571407
TRANSFORMER_DECODER,cross_situation,medium,10000,9136,7,multi_classification,0.014107142857142874,0.015321428571428597
TRANSFORMER_DECODER,cross_situation,medium,10000,9136,8,multi_classification,0.007499999999999951,0.008750000000000036
TRANSFORMER_DECODER,cross_situation,medium,10000,9136,9,multi_classification,0.010178571428571481,0.009857142857142898
TRANSFORMER_DECODER,cross_situation,medium,100000,96872,0,multi_classification,0.0012499999999999734,0.0012857142857143344
TRANSFORMER_DECODER,cross_situation,medium,100000,96872,1,multi_classification,0.0008928571428571397,0.002071428571428613
TRANSFORMER_DECODER,cross_situation,medium,100000,96872,2,multi_classification,0.0014285714285714457,0.0014999999999999458
TRANSFORMER_DECODER,cross_situation,medium,100000,96872,3,multi_classification,0.0023214285714285854,0.0023571428571428354
