Experiment,Method,N,lr,sr,input_scaling,score
discrete_postcasting.medium.N100,random.explore_top,100,0.489626303632288,0.7382260685306723,0.1096709468722142,0.6641647058823529
continuous_postcasting.medium.N100,fixed_lr.explore_top,100,1.0,0.7561987400130403,0.36773604898343626,0.0676205262541771
sinus_forecasting.medium.N100,random.explore_top,100,0.7477547217403195,1.1795415595411145,0.7013287879895251,0.0004327721626936171
chaotic_forecasting.medium.N100,fixed_lr.explore_top,100,1.0,0.7249310557198699,1.5264633858879877,0.00043989715106525337
discrete_pattern_completion.medium.N100,fixed_lr.explore_top,100,1.0,0.931561507857027,0.007857907074606024,0.4125433333333334
continuous_pattern_completion.medium.N100,random.explore_top,100,0.0289731177624365,0.0035517278537393537,2.747697504712788,0.08095962777733803
simple_copy.medium.N100,random.explore_top,100,0.05104565679293982,0.20226822269590042,0.06423865447777308,0.7837240000000001
selective_copy.medium.N100,random.explore_top,100,0.011766231394762992,6.286277185595313e-05,0.6346394487800906,0.7428600000000001
adding_problem.medium.N100,multiple_instances.explore_top,100,0.10140335368311866,0.000494883768469588,1.5119470025969648,0.8724000000000001
sorting_problem.medium.N100,random.explore_top,100,0.013376492837923002,7.442866899517831e-06,0.3003409742859624,0.7527800000000001
bracket_matching.medium.N100,random.explore_top,100,0.01202391012073179,0.039743313290958315,301.09817458260136,0.3063
cross_situation.medium.N100,random.explore_top,100,0.09687450178651973,0.4402499469259992,1.7852093234462934e-05,0.39338571428571434
