Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
LSTM,sinus_forecasting,medium,100000,99373,0,regression,0.06557794887817833,0.06568450250056974
LSTM,sinus_forecasting,medium,100000,99373,1,regression,0.046938942631295326,0.04704773991672765
LSTM,sinus_forecasting,medium,100000,99373,2,regression,0.06031846253080068,0.06027095880070953
LSTM,sinus_forecasting,medium,100000,99373,3,regression,0.05167801015126077,0.051504755230380374
LSTM,sinus_forecasting,medium,100000,99373,4,regression,0.06792851830057259,0.06809356228189986
LSTM,sinus_forecasting,medium,100000,99373,5,regression,0.05685636274659116,0.056892663553385965
LSTM,sinus_forecasting,medium,100000,99373,6,regression,0.07263641790251044,0.07259767285581435
LSTM,sinus_forecasting,medium,100000,99373,7,regression,0.055055956004656986,0.055220571600490695
LSTM,sinus_forecasting,medium,100000,99373,8,regression,0.0523211541535745,0.052312229776282526
LSTM,sinus_forecasting,medium,100000,99373,9,regression,0.05672646196055265,0.057013660341576455
LSTM,chaotic_forecasting,medium,100000,99668,0,regression,0.007284537591363233,0.0490359286207104
LSTM,chaotic_forecasting,medium,100000,99668,1,regression,0.00011061706434099626,0.001082032689480674
LSTM,chaotic_forecasting,medium,100000,99668,2,regression,0.005528854849181215,0.03589845481419422
LSTM,chaotic_forecasting,medium,100000,99668,3,regression,0.005528811359725647,0.05299548409384671
LSTM,chaotic_forecasting,medium,100000,99668,4,regression,0.00012123481492541614,0.0026133992799658814
LSTM,chaotic_forecasting,medium,100000,99668,5,regression,0.0054267858086513975,0.04246763621139862
LSTM,chaotic_forecasting,medium,100000,99668,6,regression,0.007554793484835477,0.043283345130165046
LSTM,chaotic_forecasting,medium,100000,99668,7,regression,0.007073329182771812,0.04625526314566175
LSTM,chaotic_forecasting,medium,100000,99668,8,regression,0.0053882265436824275,0.05060479012432764
LSTM,chaotic_forecasting,medium,100000,99668,9,regression,0.010154140326151063,0.04168086624270195
LSTM,discrete_postcasting,medium,100000,99720,0,classification,0.09158823529411764,0.09617647058823531
LSTM,discrete_postcasting,medium,100000,99720,1,classification,0.08335294117647063,0.0810823529411765
LSTM,discrete_postcasting,medium,100000,99720,2,classification,0.07188235294117651,0.06925882352941182
LSTM,discrete_postcasting,medium,100000,99720,3,classification,0.07447058823529407,0.07647058823529407
LSTM,discrete_postcasting,medium,100000,99720,4,classification,0.08564705882352941,0.08409411764705887
LSTM,discrete_postcasting,medium,100000,99720,5,classification,0.13147058823529412,0.13280000000000003
LSTM,discrete_postcasting,medium,100000,99720,6,classification,0.07805882352941174,0.07462352941176476
LSTM,discrete_postcasting,medium,100000,99720,7,classification,0.039529411764705924,0.038035294117647056
LSTM,discrete_postcasting,medium,100000,99720,8,classification,0.07582352941176473,0.07584705882352938
LSTM,discrete_postcasting,medium,100000,99720,9,classification,0.05411764705882349,0.05336470588235298
LSTM,continuous_postcasting,medium,100000,99373,0,regression,0.00012103743182664641,0.00012095088982123402
LSTM,continuous_postcasting,medium,100000,99373,1,regression,0.00017625002812307508,0.0001827688413129846
LSTM,continuous_postcasting,medium,100000,99373,2,regression,0.00024015963443960831,0.00024582795556240465
LSTM,continuous_postcasting,medium,100000,99373,3,regression,0.00013304743801663895,0.00013040086592630963
LSTM,continuous_postcasting,medium,100000,99373,4,regression,0.00026406774180711074,0.0002665650615060653
LSTM,continuous_postcasting,medium,100000,99373,5,regression,0.00015682716633613888,0.00015923186190229587
LSTM,continuous_postcasting,medium,100000,99373,6,regression,0.00019322889439833,0.00019428704803165606
LSTM,continuous_postcasting,medium,100000,99373,7,regression,0.00013834346811598356,0.00014459508549541803
LSTM,continuous_postcasting,medium,100000,99373,8,regression,0.00013695054931312813,0.00013455445969383665
LSTM,continuous_postcasting,medium,100000,99373,9,regression,0.00014083551295755703,0.00013965618745417387
LSTM,discrete_pattern_completion,medium,100000,100328,0,classification,0.35916666666666663,0.3745666666666667
LSTM,discrete_pattern_completion,medium,100000,100328,1,classification,0.3916666666666667,0.40380000000000005
LSTM,discrete_pattern_completion,medium,100000,100328,2,classification,0.39949999999999997,0.39103333333333334
LSTM,discrete_pattern_completion,medium,100000,100328,3,classification,0.3733333333333333,0.39093333333333335
LSTM,discrete_pattern_completion,medium,100000,100328,4,classification,0.39949999999999997,0.40603333333333336
LSTM,discrete_pattern_completion,medium,100000,100328,5,classification,0.38383333333333336,0.3980666666666667
LSTM,discrete_pattern_completion,medium,100000,100328,6,classification,0.4086666666666666,0.40656666666666663
LSTM,discrete_pattern_completion,medium,100000,100328,7,classification,0.37283333333333335,0.38793333333333335
LSTM,discrete_pattern_completion,medium,100000,100328,8,classification,0.33866666666666667,0.349
LSTM,discrete_pattern_completion,medium,100000,100328,9,classification,0.38083333333333336,0.38980000000000004
LSTM,continuous_pattern_completion,medium,100000,99373,0,regression,0.008891920768665844,0.00985352601065512
LSTM,continuous_pattern_completion,medium,100000,99373,1,regression,0.009883847688376001,0.010477802659826214
LSTM,continuous_pattern_completion,medium,100000,99373,2,regression,0.011232570144658139,0.010753502533885595
LSTM,continuous_pattern_completion,medium,100000,99373,3,regression,0.010659453730910741,0.010152786338007024
LSTM,continuous_pattern_completion,medium,100000,99373,4,regression,0.011340270222106501,0.010796701135343222
LSTM,continuous_pattern_completion,medium,100000,99373,5,regression,0.009229432025037667,0.010622992085361252
LSTM,continuous_pattern_completion,medium,100000,99373,6,regression,0.010300521199188567,0.010692143407615767
LSTM,continuous_pattern_completion,medium,100000,99373,7,regression,0.009983619552720202,0.010769354766967299
LSTM,continuous_pattern_completion,medium,100000,99373,8,regression,0.010000166340414198,0.01045788212648121
LSTM,continuous_pattern_completion,medium,100000,99373,9,regression,0.01150958973605826,0.011784139879202541
LSTM,bracket_matching,medium,100000,99512,0,classification,0.24,0.33999999999999997
