Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
LSTM,sinus_forecasting,small,10000,9841,0,regression,0.03125451920942248,0.040079545958143975
LSTM,sinus_forecasting,small,10000,9841,1,regression,0.028089662212665734,0.03426499574619049
LSTM,sinus_forecasting,small,10000,9841,2,regression,0.027519433674123794,0.03859957959126887
LSTM,sinus_forecasting,small,10000,9841,3,regression,0.0351934796566644,0.044035832132503554
LSTM,sinus_forecasting,small,10000,9841,4,regression,0.048396103016593264,0.04918504124289403
LSTM,sinus_forecasting,small,10000,9841,5,regression,0.036425558335867365,0.0308055021383625
LSTM,sinus_forecasting,small,10000,9841,6,regression,0.04030435571536849,0.0425582715568119
LSTM,sinus_forecasting,small,10000,9841,7,regression,0.023813253701530594,0.04722305121270068
LSTM,sinus_forecasting,small,10000,9841,8,regression,0.033175495029932514,0.04506198911726098
LSTM,sinus_forecasting,small,10000,9841,9,regression,0.028025186465485418,0.038457190321968135
LSTM,chaotic_forecasting,small,10000,9920,0,regression,0.023801553059518667,0.06319143641581512
LSTM,chaotic_forecasting,small,10000,9920,1,regression,0.01570549722046407,0.06690548119187534
LSTM,chaotic_forecasting,small,10000,9920,2,regression,0.01636297501064365,0.06138132957645076
LSTM,chaotic_forecasting,small,10000,9920,3,regression,0.006621114892440698,0.055058970482321085
LSTM,chaotic_forecasting,small,10000,9920,4,regression,0.022485934576141967,0.06328051206755142
LSTM,chaotic_forecasting,small,10000,9920,5,regression,0.018328961693043894,0.06277637518534891
LSTM,chaotic_forecasting,small,10000,9920,6,regression,0.031388276254971655,0.0784303744981794
LSTM,chaotic_forecasting,small,10000,9920,7,regression,0.014966519730826324,0.04016313619212991
LSTM,chaotic_forecasting,small,10000,9920,8,regression,0.015843047989454566,0.06619260220875987
LSTM,chaotic_forecasting,small,10000,9920,9,regression,0.03434016929543266,0.07134159800543145
LSTM,discrete_postcasting,small,10000,9920,0,classification,0.04888888888888887,0.05266666666666664
LSTM,discrete_postcasting,small,10000,9920,1,classification,0.3455555555555555,0.3844444444444445
LSTM,discrete_postcasting,small,10000,9920,2,classification,0.03111111111111109,0.031777777777777794
LSTM,discrete_postcasting,small,10000,9920,3,classification,0.64,0.6671111111111111
LSTM,discrete_postcasting,small,10000,9920,4,classification,0.6177777777777778,0.636
LSTM,discrete_postcasting,small,10000,9920,5,classification,0.34444444444444444,0.3526666666666667
LSTM,discrete_postcasting,small,10000,9920,6,classification,0.6211111111111112,0.6613333333333333
LSTM,discrete_postcasting,small,10000,9920,7,classification,0.040000000000000036,0.03222222222222226
LSTM,discrete_postcasting,small,10000,9920,8,classification,0.05222222222222217,0.05888888888888888
LSTM,discrete_postcasting,small,10000,9920,9,classification,0.06444444444444442,0.05888888888888888
LSTM,continuous_postcasting,small,10000,9841,0,regression,0.001721090120727565,0.0018583292729889556
LSTM,continuous_postcasting,small,10000,9841,1,regression,0.002032461438990731,0.002071466231065684
LSTM,continuous_postcasting,small,10000,9841,2,regression,0.0016462771160113423,0.0016355910011776732
LSTM,continuous_postcasting,small,10000,9841,3,regression,0.002166067195176102,0.0022389335602095886
LSTM,continuous_postcasting,small,10000,9841,4,regression,0.0019262812434230725,0.0020796727440013127
LSTM,continuous_postcasting,small,10000,9841,5,regression,0.0017808144870134902,0.0016819586150398926
LSTM,continuous_postcasting,small,10000,9841,6,regression,0.003385837366021172,0.0025717457231311247
LSTM,continuous_postcasting,small,10000,9841,7,regression,0.002589350104956613,0.0028456317506028684
LSTM,continuous_postcasting,small,10000,9841,8,regression,0.002148921026497825,0.0025920350090025673
LSTM,continuous_postcasting,small,10000,9841,9,regression,0.002394053595500213,0.002962317409210685
LSTM,discrete_pattern_completion,small,10000,10108,0,classification,0.65,0.69
LSTM,discrete_pattern_completion,small,10000,10108,1,classification,0.6125,0.6233333333333333
LSTM,discrete_pattern_completion,small,10000,10108,2,classification,0.55,0.7016666666666667
LSTM,discrete_pattern_completion,small,10000,10108,3,classification,0.41666666666666663,0.4691666666666666
LSTM,discrete_pattern_completion,small,10000,10108,4,classification,0.7333333333333334,0.665
LSTM,discrete_pattern_completion,small,10000,10108,5,classification,0.6333333333333333,0.6325000000000001
LSTM,discrete_pattern_completion,small,10000,10108,6,classification,0.43333333333333335,0.4933333333333333
LSTM,discrete_pattern_completion,small,10000,10108,7,classification,0.5958333333333333,0.6008333333333333
LSTM,discrete_pattern_completion,small,10000,10108,8,classification,0.39583333333333337,0.4525
LSTM,discrete_pattern_completion,small,10000,10108,9,classification,0.6083333333333334,0.6791666666666667
LSTM,continuous_pattern_completion,small,10000,9841,0,regression,0.08447422370999504,0.07958149503749058
LSTM,continuous_pattern_completion,small,10000,9841,1,regression,0.07779744468954114,0.08875593787634249
LSTM,continuous_pattern_completion,small,10000,9841,2,regression,0.07668336392980786,0.07733529812781517
LSTM,continuous_pattern_completion,small,10000,9841,3,regression,0.07759858608603722,0.0720408275244731
LSTM,continuous_pattern_completion,small,10000,9841,4,regression,0.08496192336999205,0.08514184424231831
LSTM,continuous_pattern_completion,small,10000,9841,5,regression,0.07081742113810569,0.0773503629613899
LSTM,continuous_pattern_completion,small,10000,9841,6,regression,0.08203995891324117,0.08592039869336664
LSTM,continuous_pattern_completion,small,10000,9841,7,regression,0.06742749738838866,0.09812855638210546
LSTM,continuous_pattern_completion,small,10000,9841,8,regression,0.08779261623199129,0.08602452793114726
LSTM,continuous_pattern_completion,small,10000,9841,9,regression,0.06869952395938196,0.06794168450711832
LSTM,bracket_matching,small,10000,9872,0,classification,0.25,0.31000000000000005
LSTM,bracket_matching,small,10000,9872,1,classification,0.7,0.49
LSTM,bracket_matching,small,10000,9872,2,classification,0.75,0.49
LSTM,bracket_matching,small,10000,9872,3,classification,0.44999999999999996,0.43999999999999995
LSTM,bracket_matching,small,10000,9872,4,classification,0.4,0.52
LSTM,bracket_matching,small,10000,9872,5,classification,0.44999999999999996,0.52
LSTM,bracket_matching,small,10000,9872,6,classification,0.5,0.49
LSTM,bracket_matching,small,10000,9872,7,classification,0.35,0.47
LSTM,bracket_matching,small,10000,9872,8,classification,0.44999999999999996,0.35
LSTM,bracket_matching,small,10000,9872,9,classification,0.25,0.45999999999999996
LSTM,simple_copy,small,10000,10108,0,classification,0.6545454545454545,0.6786363636363637
LSTM,simple_copy,small,10000,10108,1,classification,0.6568181818181817,0.6622727272727273
LSTM,simple_copy,small,10000,10108,2,classification,0.6636363636363636,0.6763636363636364
LSTM,simple_copy,small,10000,10108,3,classification,0.6363636363636364,0.6718181818181819
LSTM,simple_copy,small,10000,10108,4,classification,0.6295454545454545,0.6736363636363636
LSTM,simple_copy,small,10000,10108,5,classification,0.6659090909090909,0.6581818181818182
LSTM,simple_copy,small,10000,10108,6,classification,0.6068181818181818,0.6836363636363636
LSTM,simple_copy,small,10000,10108,7,classification,0.6477272727272727,0.6613636363636364
LSTM,simple_copy,small,10000,10108,8,classification,0.6295454545454545,0.6554545454545455
LSTM,simple_copy,small,10000,10108,9,classification,0.6477272727272727,0.6640909090909091
LSTM,selective_copy,small,10000,9893,0,classification,0.6599999999999999,0.638
LSTM,selective_copy,small,10000,9893,1,classification,0.62,0.646
LSTM,selective_copy,small,10000,9893,2,classification,0.6599999999999999,0.644
LSTM,selective_copy,small,10000,9893,3,classification,0.64,0.642
LSTM,selective_copy,small,10000,9893,4,classification,0.64,0.648
LSTM,selective_copy,small,10000,9893,5,classification,0.63,0.6799999999999999
LSTM,selective_copy,small,10000,9893,6,classification,0.63,0.6779999999999999
LSTM,selective_copy,small,10000,9893,7,classification,0.69,0.654
LSTM,selective_copy,small,10000,9893,8,classification,0.64,0.652
LSTM,selective_copy,small,10000,9893,9,classification,0.5900000000000001,0.64
LSTM,adding_problem,small,10000,9987,0,classification,0.8,0.83
LSTM,adding_problem,small,10000,9987,1,classification,0.65,0.6699999999999999
LSTM,adding_problem,small,10000,9987,2,classification,0.5,0.81
LSTM,adding_problem,small,10000,9987,3,classification,0.5,0.7
LSTM,adding_problem,small,10000,9987,4,classification,0.75,0.88
LSTM,adding_problem,small,10000,9987,5,classification,0.5,0.6699999999999999
LSTM,adding_problem,small,10000,9987,6,classification,0.75,0.6799999999999999
LSTM,adding_problem,small,10000,9987,7,classification,0.65,0.63
LSTM,adding_problem,small,10000,9987,8,classification,0.5,0.79
LSTM,adding_problem,small,10000,9987,9,classification,0.7,0.73
LSTM,sorting_problem,small,10000,9873,0,classification,0.655,0.673
LSTM,sorting_problem,small,10000,9873,1,classification,0.54,0.5640000000000001
LSTM,sorting_problem,small,10000,9873,2,classification,0.625,0.671
LSTM,sorting_problem,small,10000,9873,3,classification,0.635,0.6859999999999999
LSTM,sorting_problem,small,10000,9873,4,classification,0.61,0.665
LSTM,sorting_problem,small,10000,9873,5,classification,0.575,0.5920000000000001
LSTM,sorting_problem,small,10000,9873,6,classification,0.585,0.6739999999999999
LSTM,sorting_problem,small,10000,9873,7,classification,0.495,0.532
