Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
ESN,sinus_forecasting,medium,1000,100,0,regression,,3.6867649164853814e-05
ESN,sinus_forecasting,medium,1000,100,1,regression,,1.9644968302917527e-05
ESN,sinus_forecasting,medium,1000,100,2,regression,,2.0190702077334354e-05
ESN,sinus_forecasting,medium,1000,100,3,regression,,6.981907304911586e-05
ESN,sinus_forecasting,medium,1000,100,4,regression,,2.2240102379177578e-05
ESN,sinus_forecasting,medium,1000,100,5,regression,,2.0904229122608888e-05
ESN,sinus_forecasting,medium,1000,100,6,regression,,2.0203745703780483e-05
ESN,sinus_forecasting,medium,1000,100,7,regression,,3.9683810702239795e-05
ESN,sinus_forecasting,medium,1000,100,8,regression,,1.5615094731231925e-05
ESN,sinus_forecasting,medium,1000,100,9,regression,,3.0485726029303592e-05
ESN,chaotic_forecasting,medium,1000,300,0,regression,,0.00021722460245405628
ESN,chaotic_forecasting,medium,1000,300,1,regression,,0.0011050451149311096
ESN,chaotic_forecasting,medium,1000,300,2,regression,,0.00026960683407899037
ESN,chaotic_forecasting,medium,1000,300,3,regression,,0.00032362154275507446
ESN,chaotic_forecasting,medium,1000,300,4,regression,,0.0004362021820094793
ESN,chaotic_forecasting,medium,1000,300,5,regression,,0.00045439849222828543
ESN,chaotic_forecasting,medium,1000,300,6,regression,,0.0007889270005116892
ESN,chaotic_forecasting,medium,1000,300,7,regression,,0.0004880770753421069
ESN,chaotic_forecasting,medium,1000,300,8,regression,,0.00034736536223542544
ESN,chaotic_forecasting,medium,1000,300,9,regression,,0.00028999335334017954
ESN,discrete_postcasting,medium,1000,800,0,classification,,0.6444
ESN,discrete_postcasting,medium,1000,800,1,classification,,0.6269764705882352
ESN,discrete_postcasting,medium,1000,800,2,classification,,0.630929411764706
ESN,discrete_postcasting,medium,1000,800,3,classification,,0.6300117647058823
ESN,discrete_postcasting,medium,1000,800,4,classification,,0.6420117647058823
ESN,discrete_postcasting,medium,1000,800,5,classification,,0.6330352941176471
ESN,discrete_postcasting,medium,1000,800,6,classification,,0.6374
ESN,discrete_postcasting,medium,1000,800,7,classification,,0.6331882352941176
ESN,discrete_postcasting,medium,1000,800,8,classification,,0.6266823529411765
ESN,discrete_postcasting,medium,1000,800,9,classification,,0.6390588235294118
ESN,continuous_postcasting,medium,1000,100,0,regression,,0.06993381740339326
ESN,continuous_postcasting,medium,1000,100,1,regression,,0.10025619629127877
ESN,continuous_postcasting,medium,1000,100,2,regression,,0.044342737252180305
ESN,continuous_postcasting,medium,1000,100,3,regression,,0.1195292565929626
ESN,continuous_postcasting,medium,1000,100,4,regression,,0.08831230581462382
ESN,continuous_postcasting,medium,1000,100,5,regression,,0.0713251023671804
ESN,continuous_postcasting,medium,1000,100,6,regression,,0.05262041147041557
ESN,continuous_postcasting,medium,1000,100,7,regression,,0.04903057068993561
ESN,continuous_postcasting,medium,1000,100,8,regression,,0.061374730570768275
ESN,continuous_postcasting,medium,1000,100,9,regression,,0.08747897982161486
ESN,discrete_pattern_completion,medium,1000,800,0,classification,,0.6555
ESN,discrete_pattern_completion,medium,1000,800,1,classification,,0.6000666666666667
ESN,discrete_pattern_completion,medium,1000,800,2,classification,,0.606
ESN,discrete_pattern_completion,medium,1000,800,3,classification,,0.5278
ESN,discrete_pattern_completion,medium,1000,800,4,classification,,0.4708333333333333
ESN,discrete_pattern_completion,medium,1000,800,5,classification,,0.6
ESN,discrete_pattern_completion,medium,1000,800,6,classification,,0.5095000000000001
ESN,discrete_pattern_completion,medium,1000,800,7,classification,,0.6145
ESN,discrete_pattern_completion,medium,1000,800,8,classification,,0.6212
ESN,discrete_pattern_completion,medium,1000,800,9,classification,,0.5377666666666667
ESN,continuous_pattern_completion,medium,1000,100,0,regression,,0.07763177623638282
ESN,continuous_pattern_completion,medium,1000,100,1,regression,,0.07830335939753738
ESN,continuous_pattern_completion,medium,1000,100,2,regression,,0.07852000590206441
ESN,continuous_pattern_completion,medium,1000,100,3,regression,,0.07707111825411007
ESN,continuous_pattern_completion,medium,1000,100,4,regression,,0.07960081017826051
ESN,continuous_pattern_completion,medium,1000,100,5,regression,,0.07300334717598532
ESN,continuous_pattern_completion,medium,1000,100,6,regression,,0.0770805806443204
ESN,continuous_pattern_completion,medium,1000,100,7,regression,,0.07524659456517249
ESN,continuous_pattern_completion,medium,1000,100,8,regression,,0.07396521552924636
