Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
ESN,sinus_forecasting,small,1000,100,0,regression,,3.567214849226296e-05
ESN,sinus_forecasting,small,1000,100,1,regression,,5.8290650557179754e-05
ESN,sinus_forecasting,small,1000,100,2,regression,,4.4522913718184724e-05
ESN,sinus_forecasting,small,1000,100,3,regression,,5.232353609327846e-05
ESN,sinus_forecasting,small,1000,100,4,regression,,4.9743276246862145e-05
ESN,sinus_forecasting,small,1000,100,5,regression,,6.925429274348552e-05
ESN,sinus_forecasting,small,1000,100,6,regression,,6.600414375668502e-05
ESN,sinus_forecasting,small,1000,100,7,regression,,4.5388286489215726e-05
ESN,sinus_forecasting,small,1000,100,8,regression,,7.597888494742607e-05
ESN,sinus_forecasting,small,1000,100,9,regression,,5.334445523742233e-05
ESN,chaotic_forecasting,small,1000,300,0,regression,,0.0006152884182119842
ESN,chaotic_forecasting,small,1000,300,1,regression,,0.00033862876857085653
ESN,chaotic_forecasting,small,1000,300,2,regression,,9.069576881670047e-05
ESN,chaotic_forecasting,small,1000,300,3,regression,,0.0002811626772803348
ESN,chaotic_forecasting,small,1000,300,4,regression,,0.00010695375208794404
ESN,chaotic_forecasting,small,1000,300,5,regression,,0.0012131245944945013
ESN,chaotic_forecasting,small,1000,300,6,regression,,0.00012233727120595492
ESN,chaotic_forecasting,small,1000,300,7,regression,,0.00031405609681941674
ESN,chaotic_forecasting,small,1000,300,8,regression,,0.00011027779194373723
ESN,chaotic_forecasting,small,1000,300,9,regression,,0.0001172211473899022
ESN,discrete_postcasting,small,1000,300,0,classification,,0.0
ESN,discrete_postcasting,small,1000,300,1,classification,,0.0
ESN,discrete_postcasting,small,1000,300,2,classification,,0.0
ESN,discrete_postcasting,small,1000,300,3,classification,,0.0
ESN,discrete_postcasting,small,1000,300,4,classification,,0.0
ESN,discrete_postcasting,small,1000,300,5,classification,,0.0
ESN,discrete_postcasting,small,1000,300,6,classification,,0.0
ESN,discrete_postcasting,small,1000,300,7,classification,,0.0
ESN,discrete_postcasting,small,1000,300,8,classification,,0.0
ESN,discrete_postcasting,small,1000,300,9,classification,,0.0
ESN,continuous_postcasting,small,1000,100,0,regression,,0.00033353058291758325
ESN,continuous_postcasting,small,1000,100,1,regression,,0.0003565883251805033
ESN,continuous_postcasting,small,1000,100,2,regression,,0.00045023958396169455
ESN,continuous_postcasting,small,1000,100,3,regression,,0.00023969204393011642
ESN,continuous_postcasting,small,1000,100,4,regression,,0.00042346677332798157
ESN,continuous_postcasting,small,1000,100,5,regression,,0.00017183632393335372
ESN,continuous_postcasting,small,1000,100,6,regression,,0.0003812293266983261
ESN,continuous_postcasting,small,1000,100,7,regression,,0.0003507435160423865
ESN,continuous_postcasting,small,1000,100,8,regression,,0.00024040091818783733
ESN,continuous_postcasting,small,1000,100,9,regression,,0.0003790576720084493
ESN,discrete_pattern_completion,small,1000,300,0,classification,,0.06999999999999995
ESN,discrete_pattern_completion,small,1000,300,1,classification,,0.07750000000000001
ESN,discrete_pattern_completion,small,1000,300,2,classification,,0.0708333333333333
ESN,discrete_pattern_completion,small,1000,300,3,classification,,0.07166666666666666
ESN,discrete_pattern_completion,small,1000,300,4,classification,,0.08583333333333332
ESN,discrete_pattern_completion,small,1000,300,5,classification,,0.05666666666666664
ESN,discrete_pattern_completion,small,1000,300,6,classification,,0.06333333333333335
ESN,discrete_pattern_completion,small,1000,300,7,classification,,0.08750000000000002
ESN,discrete_pattern_completion,small,1000,300,8,classification,,0.05583333333333329
ESN,discrete_pattern_completion,small,1000,300,9,classification,,0.06833333333333336
ESN,continuous_pattern_completion,small,1000,100,0,regression,,0.026013027170304324
ESN,continuous_pattern_completion,small,1000,100,1,regression,,0.030397908035876203
ESN,continuous_pattern_completion,small,1000,100,2,regression,,0.03472791831692753
ESN,continuous_pattern_completion,small,1000,100,3,regression,,0.031172107778474154
ESN,continuous_pattern_completion,small,1000,100,4,regression,,0.024318971637948446
ESN,continuous_pattern_completion,small,1000,100,5,regression,,0.026218931110187693
ESN,continuous_pattern_completion,small,1000,100,6,regression,,0.03432974597339234
ESN,continuous_pattern_completion,small,1000,100,7,regression,,0.023666496534456745
ESN,continuous_pattern_completion,small,1000,100,8,regression,,0.029747800558612644
ESN,continuous_pattern_completion,small,1000,100,9,regression,,0.02285817785149912
