Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
GRU,sinus_forecasting,medium,100000,99001,0,regression,0.048926325142242454,0.04909991859005662
GRU,sinus_forecasting,medium,100000,99001,1,regression,0.0680362769552904,0.06810633130457387
GRU,sinus_forecasting,medium,100000,99001,2,regression,0.06685470827046007,0.06712171996275497
GRU,sinus_forecasting,medium,100000,99001,3,regression,0.05429505526779984,0.05444572105938922
GRU,sinus_forecasting,medium,100000,99001,4,regression,0.045094801851372865,0.04526607591520008
GRU,sinus_forecasting,medium,100000,99001,5,regression,0.040134496142388836,0.04029956021074475
GRU,sinus_forecasting,medium,100000,99001,6,regression,0.06875594121316525,0.06870338113684178
GRU,sinus_forecasting,medium,100000,99001,7,regression,0.06809463436427925,0.06828345067877414
GRU,sinus_forecasting,medium,100000,99001,8,regression,0.05509300737302498,0.05515130255380324
GRU,sinus_forecasting,medium,100000,99001,9,regression,0.05439456753665742,0.05453212904268646
GRU,chaotic_forecasting,medium,100000,99348,0,regression,0.005010404099155352,0.02278529460813429
GRU,chaotic_forecasting,medium,100000,99348,1,regression,0.010530554278150141,0.08278749214171323
GRU,chaotic_forecasting,medium,100000,99348,2,regression,0.00016225280188110795,0.0010996092840470854
GRU,chaotic_forecasting,medium,100000,99348,3,regression,0.0002426202373242913,0.002450044061210484
GRU,chaotic_forecasting,medium,100000,99348,4,regression,0.00012303158769127158,0.0008028320658921021
GRU,chaotic_forecasting,medium,100000,99348,5,regression,0.007526072382846382,0.03702208625481554
GRU,chaotic_forecasting,medium,100000,99348,6,regression,0.00018564493107278777,0.001332773920773474
GRU,chaotic_forecasting,medium,100000,99348,7,regression,0.006923927832672785,0.0364813711291684
GRU,chaotic_forecasting,medium,100000,99348,8,regression,0.0002076366843606116,0.0011377551721335492
GRU,chaotic_forecasting,medium,100000,99348,9,regression,0.00013234232577154453,0.000855859389555993
GRU,discrete_postcasting,medium,100000,99624,0,classification,0.0348235294117647,0.039000000000000035
GRU,discrete_postcasting,medium,100000,99624,1,classification,0.03864705882352937,0.0379176470588235
GRU,discrete_postcasting,medium,100000,99624,2,classification,0.0463529411764706,0.049223529411764666
GRU,discrete_postcasting,medium,100000,99624,3,classification,0.04323529411764704,0.04289411764705886
GRU,discrete_postcasting,medium,100000,99624,4,classification,0.004588235294117671,0.004658823529411715
GRU,discrete_postcasting,medium,100000,99624,5,classification,0.05847058823529416,0.05815294117647063
GRU,discrete_postcasting,medium,100000,99624,6,classification,0.045117647058823485,0.04570588235294115
GRU,discrete_postcasting,medium,100000,99624,7,classification,0.03447058823529414,0.03745882352941177
GRU,discrete_postcasting,medium,100000,99624,8,classification,0.061705882352941166,0.0600705882352941
GRU,discrete_postcasting,medium,100000,99624,9,classification,0.03529411764705881,0.03389411764705885
GRU,continuous_postcasting,medium,100000,99001,0,regression,7.199928766183995e-05,7.273000847170667e-05
GRU,continuous_postcasting,medium,100000,99001,1,regression,9.093603215131988e-05,9.488127654576535e-05
GRU,continuous_postcasting,medium,100000,99001,2,regression,0.00012134805282898571,0.000123855791190188
GRU,continuous_postcasting,medium,100000,99001,3,regression,0.00010167008687772923,0.00010386316615763139
GRU,continuous_postcasting,medium,100000,99001,4,regression,5.228447738308736e-05,5.200911323637837e-05
GRU,continuous_postcasting,medium,100000,99001,5,regression,7.117213138005713e-05,7.28521964174542e-05
GRU,continuous_postcasting,medium,100000,99001,6,regression,7.016592508571877e-05,7.334335925243309e-05
GRU,continuous_postcasting,medium,100000,99001,7,regression,0.00010308323875354409,0.00011161697560564375
