Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
GRU,sinus_forecasting,small,100000,99001,0,regression,0.026544991611627867,0.01845212155461728
GRU,sinus_forecasting,small,100000,99001,1,regression,0.022093301495788437,0.027032075352307734
GRU,sinus_forecasting,small,100000,99001,2,regression,0.02733973352220117,0.02360816804392866
GRU,sinus_forecasting,small,100000,99001,3,regression,0.02498320867406389,0.022404671198717634
GRU,sinus_forecasting,small,100000,99001,4,regression,0.015018836657627441,0.027903747016131453
GRU,sinus_forecasting,small,100000,99001,5,regression,0.0267670602892248,0.01922988476114449
GRU,sinus_forecasting,small,100000,99001,6,regression,0.025303277600580137,0.021593577585617807
GRU,sinus_forecasting,small,100000,99001,7,regression,0.022989813795245298,0.02385908765302391
GRU,sinus_forecasting,small,100000,99001,8,regression,0.028945427522745266,0.027594101503841322
GRU,sinus_forecasting,small,100000,99001,9,regression,0.02491577752890389,0.024679406803892127
GRU,chaotic_forecasting,small,100000,99348,0,regression,0.008894854034794616,0.05360648423781494
GRU,chaotic_forecasting,small,100000,99348,1,regression,0.0094165019721169,0.05429706322246586
GRU,chaotic_forecasting,small,100000,99348,2,regression,0.014665036354366884,0.05803010160000685
GRU,chaotic_forecasting,small,100000,99348,3,regression,0.023215366617510644,0.05926281684853156
GRU,chaotic_forecasting,small,100000,99348,4,regression,0.011351289421644735,0.055569119601426006
GRU,chaotic_forecasting,small,100000,99348,5,regression,0.01874046253203525,0.05869385584307615
GRU,chaotic_forecasting,small,100000,99348,6,regression,0.01684379201222851,0.0689705598316691
GRU,chaotic_forecasting,small,100000,99348,7,regression,0.02201366944025279,0.06525341384943471
GRU,chaotic_forecasting,small,100000,99348,8,regression,0.012666066139822942,0.05848802566134247
GRU,chaotic_forecasting,small,100000,99348,9,regression,0.023905792087583984,0.06475450615365173
GRU,discrete_postcasting,small,100000,99348,0,classification,0.007777777777777772,0.007555555555555538
GRU,discrete_postcasting,small,100000,99348,1,classification,0.007777777777777772,0.005333333333333301
