Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
LSTM,sinus_forecasting,small,100000,99373,0,regression,0.04134102325664324,0.05081142715549942
LSTM,sinus_forecasting,small,100000,99373,1,regression,0.024346083213732383,0.05857257893578239
LSTM,sinus_forecasting,small,100000,99373,2,regression,0.03855548828355783,0.07185216891068065
LSTM,sinus_forecasting,small,100000,99373,3,regression,0.03419740982544768,0.06562349872929728
LSTM,sinus_forecasting,small,100000,99373,4,regression,0.030574797288187135,0.059524443785601476
LSTM,sinus_forecasting,small,100000,99373,5,regression,0.015414827678589404,0.06192948300779335
LSTM,sinus_forecasting,small,100000,99373,6,regression,0.014552260314114104,0.06975113746804917
LSTM,sinus_forecasting,small,100000,99373,7,regression,0.04661369993254155,0.06477482711622363
LSTM,sinus_forecasting,small,100000,99373,8,regression,0.02519204810606062,0.05564987312651065
LSTM,sinus_forecasting,small,100000,99373,9,regression,0.03807930001224437,0.05382492968496074
LSTM,chaotic_forecasting,small,100000,99668,0,regression,0.01178426583523613,0.055249872303700355
LSTM,chaotic_forecasting,small,100000,99668,1,regression,0.017726251385262213,0.057630769260933884
LSTM,chaotic_forecasting,small,100000,99668,2,regression,0.019281094212587245,0.05744872533185389
LSTM,chaotic_forecasting,small,100000,99668,3,regression,0.023192581468356423,0.06471908700111266
LSTM,chaotic_forecasting,small,100000,99668,4,regression,0.022445698296299752,0.06676122365845807
LSTM,chaotic_forecasting,small,100000,99668,5,regression,0.014661818155009472,0.05570481305681997
LSTM,chaotic_forecasting,small,100000,99668,6,regression,0.02323040469628502,0.06348489122345104
LSTM,chaotic_forecasting,small,100000,99668,7,regression,0.022009968528779587,0.06609525200550476
LSTM,chaotic_forecasting,small,100000,99668,8,regression,0.008457941436728178,0.05072142876124877
LSTM,chaotic_forecasting,small,100000,99668,9,regression,0.022711823618952284,0.06307278860384538
LSTM,discrete_postcasting,small,100000,99668,0,classification,0.008888888888888835,0.008444444444444477
LSTM,discrete_postcasting,small,100000,99668,1,classification,0.007777777777777772,0.01244444444444448
LSTM,discrete_postcasting,small,100000,99668,2,classification,0.007777777777777772,0.010444444444444478
LSTM,discrete_postcasting,small,100000,99668,3,classification,0.0033333333333332993,0.008444444444444477
LSTM,discrete_postcasting,small,100000,99668,4,classification,0.008888888888888835,0.02400000000000002
LSTM,discrete_postcasting,small,100000,99668,5,classification,0.0033333333333332993,0.003555555555555534
LSTM,discrete_postcasting,small,100000,99668,6,classification,0.014444444444444482,0.015111111111111075
LSTM,discrete_postcasting,small,100000,99668,7,classification,0.0033333333333332993,0.009333333333333305
LSTM,discrete_postcasting,small,100000,99668,8,classification,0.005555555555555536,0.012222222222222245
LSTM,discrete_postcasting,small,100000,99668,9,classification,0.0022222222222222365,0.007111111111111068
LSTM,continuous_postcasting,small,100000,99373,0,regression,0.00020994623876407977,0.00023883901586986352
LSTM,continuous_postcasting,small,100000,99373,1,regression,0.00018944639553457722,0.00022093278084321714
LSTM,continuous_postcasting,small,100000,99373,2,regression,0.00018119254484445034,0.00021113472978751425
LSTM,continuous_postcasting,small,100000,99373,3,regression,0.0002445670564606743,0.0002435390678111155
LSTM,continuous_postcasting,small,100000,99373,4,regression,0.00025354104326025923,0.0002320570467147178
LSTM,continuous_postcasting,small,100000,99373,5,regression,0.0002693643761339752,0.0002575650279412291
LSTM,continuous_postcasting,small,100000,99373,6,regression,0.0003040405658371743,0.0002523743790396692
LSTM,continuous_postcasting,small,100000,99373,7,regression,0.0004205910626377235,0.0003951527119264004
LSTM,continuous_postcasting,small,100000,99373,8,regression,0.0002298990397817622,0.00025623799670074747
LSTM,continuous_postcasting,small,100000,99373,9,regression,0.00032543770626491714,0.0003605014159784943
LSTM,discrete_pattern_completion,small,100000,100288,0,classification,0.48750000000000004,0.44666666666666666
LSTM,discrete_pattern_completion,small,100000,100288,1,classification,0.475,0.4125
LSTM,discrete_pattern_completion,small,100000,100288,2,classification,0.44166666666666665,0.4716666666666667
LSTM,discrete_pattern_completion,small,100000,100288,3,classification,0.4,0.44499999999999995
LSTM,discrete_pattern_completion,small,100000,100288,4,classification,0.5083333333333333,0.6266666666666667
LSTM,discrete_pattern_completion,small,100000,100288,5,classification,0.475,0.4491666666666667
LSTM,discrete_pattern_completion,small,100000,100288,6,classification,0.4291666666666667,0.43166666666666664
LSTM,discrete_pattern_completion,small,100000,100288,7,classification,0.39583333333333337,0.4158333333333334
LSTM,discrete_pattern_completion,small,100000,100288,8,classification,0.4083333333333333,0.4491666666666667
LSTM,discrete_pattern_completion,small,100000,100288,9,classification,0.4208333333333333,0.4041666666666667
LSTM,continuous_pattern_completion,small,100000,99373,0,regression,0.08492948554061235,0.07896532251335336
LSTM,continuous_pattern_completion,small,100000,99373,1,regression,0.09005936948209074,0.095537401632896
LSTM,continuous_pattern_completion,small,100000,99373,2,regression,0.06937748821553742,0.0691631999703087
LSTM,continuous_pattern_completion,small,100000,99373,3,regression,0.07819658623217084,0.07326813364479776
LSTM,continuous_pattern_completion,small,100000,99373,4,regression,0.06630035017585492,0.06844672201434744
LSTM,continuous_pattern_completion,small,100000,99373,5,regression,0.07311167960417349,0.07939330694100886
LSTM,continuous_pattern_completion,small,100000,99373,6,regression,0.07047055308533495,0.07380822231037967
LSTM,continuous_pattern_completion,small,100000,99373,7,regression,0.06999540246299271,0.09117186590620781
LSTM,continuous_pattern_completion,small,100000,99373,8,regression,0.06785027178446287,0.07202653682365563
LSTM,continuous_pattern_completion,small,100000,99373,9,regression,0.07204533219412483,0.07176739782701418
LSTM,bracket_matching,small,100000,99512,0,classification,0.19999999999999996,0.31000000000000005
LSTM,bracket_matching,small,100000,99512,1,classification,0.25,0.44999999999999996
LSTM,bracket_matching,small,100000,99512,2,classification,0.75,0.49
LSTM,bracket_matching,small,100000,99512,3,classification,0.30000000000000004,0.35
LSTM,bracket_matching,small,100000,99512,4,classification,0.4,0.52
LSTM,bracket_matching,small,100000,99512,5,classification,0.44999999999999996,0.52
LSTM,bracket_matching,small,100000,99512,6,classification,0.30000000000000004,0.36
LSTM,bracket_matching,small,100000,99512,7,classification,0.35,0.47
LSTM,bracket_matching,small,100000,99512,8,classification,0.44999999999999996,0.30000000000000004
LSTM,bracket_matching,small,100000,99512,9,classification,0.25,0.36
LSTM,simple_copy,small,100000,100288,0,classification,0.6545454545454545,0.6786363636363637
LSTM,simple_copy,small,100000,100288,1,classification,0.6590909090909092,0.6786363636363637
LSTM,simple_copy,small,100000,100288,2,classification,0.6636363636363636,0.6763636363636364
LSTM,simple_copy,small,100000,100288,3,classification,0.6613636363636364,0.6468181818181817
LSTM,simple_copy,small,100000,100288,4,classification,0.6295454545454545,0.6736363636363636
LSTM,simple_copy,small,100000,100288,5,classification,0.6659090909090909,0.6581818181818182
LSTM,simple_copy,small,100000,100288,6,classification,0.6068181818181818,0.6836363636363636
LSTM,simple_copy,small,100000,100288,7,classification,0.6477272727272727,0.6613636363636364
LSTM,simple_copy,small,100000,100288,8,classification,0.6295454545454545,0.6554545454545455
LSTM,simple_copy,small,100000,100288,9,classification,0.6477272727272727,0.6640909090909091
LSTM,selective_copy,small,100000,99641,0,classification,0.6599999999999999,0.638
LSTM,selective_copy,small,100000,99641,1,classification,0.63,0.652
LSTM,selective_copy,small,100000,99641,2,classification,0.6699999999999999,0.652
LSTM,selective_copy,small,100000,99641,3,classification,0.64,0.642
LSTM,selective_copy,small,100000,99641,4,classification,0.7,0.654
LSTM,selective_copy,small,100000,99641,5,classification,0.6799999999999999,0.6639999999999999
LSTM,selective_copy,small,100000,99641,6,classification,0.63,0.6779999999999999
LSTM,selective_copy,small,100000,99641,7,classification,0.6599999999999999,0.6699999999999999
LSTM,selective_copy,small,100000,99641,8,classification,0.64,0.652
LSTM,selective_copy,small,100000,99641,9,classification,0.5900000000000001,0.64
LSTM,adding_problem,small,100000,99951,0,classification,0.75,0.83
LSTM,adding_problem,small,100000,99951,1,classification,0.65,0.6699999999999999
LSTM,adding_problem,small,100000,99951,2,classification,0.5,0.81
LSTM,adding_problem,small,100000,99951,3,classification,0.5,0.7
LSTM,adding_problem,small,100000,99951,4,classification,0.75,0.6599999999999999
LSTM,adding_problem,small,100000,99951,5,classification,0.5,0.6699999999999999
LSTM,adding_problem,small,100000,99951,6,classification,0.75,0.6799999999999999
LSTM,adding_problem,small,100000,99951,7,classification,0.65,0.63
LSTM,adding_problem,small,100000,99951,8,classification,0.55,0.75
LSTM,adding_problem,small,100000,99951,9,classification,0.7,0.73
LSTM,sorting_problem,small,100000,100053,0,classification,0.48,0.515
LSTM,sorting_problem,small,100000,100053,1,classification,0.505,0.514
LSTM,sorting_problem,small,100000,100053,2,classification,0.575,0.593
LSTM,sorting_problem,small,100000,100053,3,classification,0.5,0.511
LSTM,sorting_problem,small,100000,100053,4,classification,0.61,0.665
LSTM,sorting_problem,small,100000,100053,5,classification,0.52,0.515
LSTM,sorting_problem,small,100000,100053,6,classification,0.5800000000000001,0.642
LSTM,sorting_problem,small,100000,100053,7,classification,0.485,0.517
LSTM,sorting_problem,small,100000,100053,8,classification,0.475,0.507
LSTM,sorting_problem,small,100000,100053,9,classification,0.615,0.6719999999999999
LSTM,cross_situation,small,100000,100444,0,multi_classification,0.2833333333333333,0.6938888888888889
LSTM,cross_situation,small,100000,100444,1,multi_classification,0.3222222222222222,0.6944444444444444
LSTM,cross_situation,small,100000,100444,2,multi_classification,0.2861111111111111,0.6911111111111111
LSTM,cross_situation,small,100000,100444,3,multi_classification,0.2944444444444444,0.6977777777777778
