Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
LSTM,sinus_forecasting,medium,1000,967,0,regression,0.06828607580822137,0.06848957078288437
LSTM,sinus_forecasting,medium,1000,967,1,regression,0.06559809354271111,0.06583404764961871
LSTM,sinus_forecasting,medium,1000,967,2,regression,0.06769095814904108,0.06790292618072757
LSTM,sinus_forecasting,medium,1000,967,3,regression,0.06920688031603177,0.06943525329315908
LSTM,sinus_forecasting,medium,1000,967,4,regression,0.06783952923231634,0.06804598864455891
LSTM,sinus_forecasting,medium,1000,967,5,regression,0.06321651859619751,0.06334857323612625
LSTM,sinus_forecasting,medium,1000,967,6,regression,0.06609152754235992,0.06626640950374496
LSTM,sinus_forecasting,medium,1000,967,7,regression,0.06783692921220752,0.0679884415020469
LSTM,sinus_forecasting,medium,1000,967,8,regression,0.07295658982909145,0.07323667577301354
LSTM,sinus_forecasting,medium,1000,967,9,regression,0.06456946501265365,0.06472159151713672
LSTM,chaotic_forecasting,medium,1000,978,0,regression,0.024051928478024148,0.0270733528642029
LSTM,chaotic_forecasting,medium,1000,978,1,regression,0.004051771944252408,0.023985432981026053
LSTM,chaotic_forecasting,medium,1000,978,2,regression,0.0037907572071739313,0.02944699353532786
LSTM,chaotic_forecasting,medium,1000,978,3,regression,0.0058368956410323495,0.021540089274307613
LSTM,chaotic_forecasting,medium,1000,978,4,regression,0.0223085401805834,0.04039730569890995
LSTM,chaotic_forecasting,medium,1000,978,5,regression,0.011320089475682587,0.029357794805252774
LSTM,chaotic_forecasting,medium,1000,978,6,regression,0.002940109681839877,0.02095560921428945
LSTM,chaotic_forecasting,medium,1000,978,7,regression,0.02377905865302075,0.031929157347631514
LSTM,chaotic_forecasting,medium,1000,978,8,regression,0.0037970467201660432,0.019148935672669308
LSTM,chaotic_forecasting,medium,1000,978,9,regression,0.002739353072595715,0.020065773405479288
LSTM,discrete_postcasting,medium,1000,1020,0,classification,0.871,0.8761294117647058
LSTM,discrete_postcasting,medium,1000,1020,1,classification,0.8791176470588236,0.8744941176470589
LSTM,discrete_postcasting,medium,1000,1020,2,classification,0.7148823529411765,0.7141647058823529
LSTM,discrete_postcasting,medium,1000,1020,3,classification,0.8758235294117647,0.8737176470588235
LSTM,discrete_postcasting,medium,1000,1020,4,classification,0.7165294117647059,0.7151764705882353
LSTM,discrete_postcasting,medium,1000,1020,5,classification,0.8736470588235294,0.8744235294117647
LSTM,discrete_postcasting,medium,1000,1020,6,classification,0.7263529411764706,0.7257058823529412
LSTM,discrete_postcasting,medium,1000,1020,7,classification,0.6998235294117647,0.7040235294117647
LSTM,discrete_postcasting,medium,1000,1020,8,classification,0.7298235294117648,0.725035294117647
LSTM,discrete_postcasting,medium,1000,1020,9,classification,0.8703529411764706,0.8737294117647059
LSTM,continuous_postcasting,medium,1000,967,0,regression,0.0789100358538926,0.0796465104600097
LSTM,continuous_postcasting,medium,1000,967,1,regression,0.06771980730482736,0.06839884305222288
LSTM,continuous_postcasting,medium,1000,967,2,regression,0.05691601025517051,0.05646419475375678
LSTM,continuous_postcasting,medium,1000,967,3,regression,0.05624312086280591,0.055794009609181544
LSTM,continuous_postcasting,medium,1000,967,4,regression,0.09293670166366007,0.09114375464757796
LSTM,continuous_postcasting,medium,1000,967,5,regression,0.2117525921887229,0.2141134586724094
LSTM,continuous_postcasting,medium,1000,967,6,regression,0.07274876727180361,0.07328155269344501
LSTM,continuous_postcasting,medium,1000,967,7,regression,0.07600141199131466,0.07726308364450923
LSTM,continuous_postcasting,medium,1000,967,8,regression,0.08633565797324923,0.08357836242886027
LSTM,continuous_postcasting,medium,1000,967,9,regression,0.05482589276377716,0.05508383291268204
LSTM,discrete_pattern_completion,medium,1000,928,0,classification,0.866,0.8815999999999999
LSTM,discrete_pattern_completion,medium,1000,928,1,classification,0.8316666666666667,0.8354333333333334
LSTM,discrete_pattern_completion,medium,1000,928,2,classification,0.873,0.8726666666666667
LSTM,discrete_pattern_completion,medium,1000,928,3,classification,0.8645,0.8764666666666667
LSTM,discrete_pattern_completion,medium,1000,928,4,classification,0.802,0.7967333333333333
LSTM,discrete_pattern_completion,medium,1000,928,5,classification,0.8665,0.8723666666666667
LSTM,discrete_pattern_completion,medium,1000,928,6,classification,0.7891666666666667,0.7988666666666666
LSTM,discrete_pattern_completion,medium,1000,928,7,classification,0.7028333333333333,0.6980666666666666
LSTM,discrete_pattern_completion,medium,1000,928,8,classification,0.7103333333333333,0.7138
LSTM,discrete_pattern_completion,medium,1000,928,9,classification,0.8108333333333333,0.8218
LSTM,continuous_pattern_completion,medium,1000,967,0,regression,0.043664890618108465,0.04404274385757997
LSTM,continuous_pattern_completion,medium,1000,967,1,regression,0.04555034859791357,0.04505766373850744
LSTM,continuous_pattern_completion,medium,1000,967,2,regression,0.05169724111149993,0.0542622841929859
LSTM,continuous_pattern_completion,medium,1000,967,3,regression,0.05071079484681699,0.0487243116696326
LSTM,continuous_pattern_completion,medium,1000,967,4,regression,0.05731012083411319,0.055218827217650424
LSTM,continuous_pattern_completion,medium,1000,967,5,regression,0.06028226326497457,0.06092392148925873
LSTM,continuous_pattern_completion,medium,1000,967,6,regression,0.05000350361333556,0.05090738454083134
LSTM,continuous_pattern_completion,medium,1000,967,7,regression,0.08437116762007411,0.0826516885955982
LSTM,continuous_pattern_completion,medium,1000,967,8,regression,0.07475190378233897,0.07355602861752683
LSTM,continuous_pattern_completion,medium,1000,967,9,regression,0.05114069410587958,0.05226625560454991
LSTM,bracket_matching,medium,1000,964,0,classification,0.25,0.33999999999999997
LSTM,bracket_matching,medium,1000,964,1,classification,0.275,0.29300000000000004
LSTM,bracket_matching,medium,1000,964,2,classification,0.245,0.32199999999999995
LSTM,bracket_matching,medium,1000,964,3,classification,0.18999999999999995,0.21899999999999997
LSTM,bracket_matching,medium,1000,964,4,classification,0.22999999999999998,0.258
LSTM,bracket_matching,medium,1000,964,5,classification,0.26,0.238
LSTM,bracket_matching,medium,1000,964,6,classification,0.32999999999999996,0.32699999999999996
LSTM,bracket_matching,medium,1000,964,7,classification,0.33499999999999996,0.32099999999999995
LSTM,bracket_matching,medium,1000,964,8,classification,0.20499999999999996,0.241
LSTM,bracket_matching,medium,1000,964,9,classification,0.29500000000000004,0.32299999999999995
LSTM,simple_copy,medium,1000,928,0,classification,0.8684000000000001,0.87378
LSTM,simple_copy,medium,1000,928,1,classification,0.8731,0.87638
LSTM,simple_copy,medium,1000,928,2,classification,0.8734,0.87524
LSTM,simple_copy,medium,1000,928,3,classification,0.8682,0.87514
LSTM,simple_copy,medium,1000,928,4,classification,0.873,0.87506
LSTM,simple_copy,medium,1000,928,5,classification,0.8754,0.87586
LSTM,simple_copy,medium,1000,928,6,classification,0.8706,0.8761
LSTM,simple_copy,medium,1000,928,7,classification,0.8661,0.87418
LSTM,simple_copy,medium,1000,928,8,classification,0.8701,0.87416
LSTM,simple_copy,medium,1000,928,9,classification,0.873,0.8753
LSTM,selective_copy,medium,1000,968,0,classification,0.8674999999999999,0.8705
LSTM,selective_copy,medium,1000,968,1,classification,0.8694999999999999,0.8769
LSTM,selective_copy,medium,1000,968,2,classification,0.8654999999999999,0.8809
LSTM,selective_copy,medium,1000,968,3,classification,0.8645,0.8742
LSTM,selective_copy,medium,1000,968,4,classification,0.869,0.8717
LSTM,selective_copy,medium,1000,968,5,classification,0.865,0.8809
LSTM,selective_copy,medium,1000,968,6,classification,0.8485,0.8638
LSTM,selective_copy,medium,1000,968,7,classification,0.8734999999999999,0.8795
LSTM,selective_copy,medium,1000,968,8,classification,0.8685,0.8721
LSTM,selective_copy,medium,1000,968,9,classification,0.865,0.8703
LSTM,adding_problem,medium,1000,906,0,classification,0.91,0.94
LSTM,adding_problem,medium,1000,906,1,classification,0.845,0.877
LSTM,adding_problem,medium,1000,906,2,classification,0.84,0.879
LSTM,adding_problem,medium,1000,906,3,classification,0.85,0.89
LSTM,adding_problem,medium,1000,906,4,classification,0.87,0.905
LSTM,adding_problem,medium,1000,906,5,classification,0.86,0.87
LSTM,adding_problem,medium,1000,906,6,classification,0.895,0.874
LSTM,adding_problem,medium,1000,906,7,classification,0.89,0.884
LSTM,adding_problem,medium,1000,906,8,classification,0.86,0.882
LSTM,adding_problem,medium,1000,906,9,classification,0.88,0.875
LSTM,sorting_problem,medium,1000,944,0,classification,0.8634999999999999,0.87675
LSTM,sorting_problem,medium,1000,944,1,classification,0.847,0.8434
LSTM,sorting_problem,medium,1000,944,2,classification,0.83975,0.8412999999999999
LSTM,sorting_problem,medium,1000,944,3,classification,0.83975,0.8488
LSTM,sorting_problem,medium,1000,944,4,classification,0.81575,0.81935
LSTM,sorting_problem,medium,1000,944,5,classification,0.83125,0.8385
LSTM,sorting_problem,medium,1000,944,6,classification,0.83325,0.83785
LSTM,sorting_problem,medium,1000,944,7,classification,0.8069999999999999,0.8129500000000001
LSTM,sorting_problem,medium,1000,944,8,classification,0.817,0.8214
LSTM,sorting_problem,medium,1000,944,9,classification,0.84425,0.8488
LSTM,cross_situation,medium,1000,1008,0,multi_classification,0.20303571428571432,0.7974642857142857
LSTM,cross_situation,medium,1000,1008,1,multi_classification,0.2025,0.7970714285714285
LSTM,cross_situation,medium,1000,1008,2,multi_classification,0.20410714285714282,0.7975
LSTM,cross_situation,medium,1000,1008,3,multi_classification,0.20392857142857146,0.7969285714285714
LSTM,cross_situation,medium,1000,1008,4,multi_classification,0.20375,0.7969285714285714
LSTM,cross_situation,medium,1000,1008,5,multi_classification,0.20553571428571427,0.7966428571428572
LSTM,cross_situation,medium,1000,1008,6,multi_classification,0.20446428571428577,0.7980714285714285
LSTM,cross_situation,medium,1000,1008,7,multi_classification,0.20375,0.7972142857142857
LSTM,cross_situation,medium,1000,1008,8,multi_classification,0.2019642857142857,0.7970357142857143
LSTM,cross_situation,medium,1000,1008,9,multi_classification,0.2025,0.7965357142857143
