Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
TRANSFORMER_DECODER,sinus_forecasting,medium,1000,1039,0,regression,0.1308077492402483,0.26443326201397876
TRANSFORMER_DECODER,sinus_forecasting,medium,1000,1039,1,regression,0.07754828581951162,0.24249269030289597
TRANSFORMER_DECODER,sinus_forecasting,medium,1000,1039,2,regression,0.14585890644706556,1.6268432654680915
TRANSFORMER_DECODER,sinus_forecasting,medium,1000,1039,3,regression,0.13657294701119585,0.18543876328937933
TRANSFORMER_DECODER,sinus_forecasting,medium,1000,1039,4,regression,0.12471072084360829,0.4639032739572601
TRANSFORMER_DECODER,sinus_forecasting,medium,1000,1039,5,regression,0.1178874099744971,0.11607197376971234
TRANSFORMER_DECODER,sinus_forecasting,medium,1000,1039,6,regression,0.13600266079681259,0.4368925061095182
TRANSFORMER_DECODER,sinus_forecasting,medium,1000,1039,7,regression,0.1614996336565896,0.26690493232387974
TRANSFORMER_DECODER,sinus_forecasting,medium,1000,1039,8,regression,0.25500682064161323,0.20135200763384514
TRANSFORMER_DECODER,sinus_forecasting,medium,1000,1039,9,regression,0.38341723025074415,0.4200202933108457
TRANSFORMER_DECODER,chaotic_forecasting,medium,1000,1065,0,regression,0.11295558230752008,0.1240770339295309
TRANSFORMER_DECODER,chaotic_forecasting,medium,1000,1065,1,regression,0.13275545186086488,0.11025359021946542
TRANSFORMER_DECODER,chaotic_forecasting,medium,1000,1065,2,regression,0.12696128473069584,0.12794394933253467
TRANSFORMER_DECODER,chaotic_forecasting,medium,1000,1065,3,regression,0.13953153205189986,0.16290870500625632
TRANSFORMER_DECODER,chaotic_forecasting,medium,1000,1065,4,regression,0.13704814927860318,0.08869076519305485
TRANSFORMER_DECODER,chaotic_forecasting,medium,1000,1065,5,regression,0.13110938028179675,0.12519544724939957
TRANSFORMER_DECODER,chaotic_forecasting,medium,1000,1065,6,regression,0.13269285508348483,0.12567373872720897
TRANSFORMER_DECODER,chaotic_forecasting,medium,1000,1065,7,regression,0.12186507298271639,0.15728903679365053
TRANSFORMER_DECODER,chaotic_forecasting,medium,1000,1065,8,regression,0.1352164785065442,0.1252013536655502
TRANSFORMER_DECODER,chaotic_forecasting,medium,1000,1065,9,regression,0.14231446191043426,0.15085538033674784
TRANSFORMER_DECODER,discrete_postcasting,medium,1000,1130,0,classification,0.8716470588235294,0.8744470588235294
TRANSFORMER_DECODER,discrete_postcasting,medium,1000,1130,1,classification,0.8731176470588236,0.873835294117647
TRANSFORMER_DECODER,discrete_postcasting,medium,1000,1130,2,classification,0.8762941176470588,0.8748470588235294
TRANSFORMER_DECODER,discrete_postcasting,medium,1000,1130,3,classification,0.8737058823529411,0.8731411764705882
TRANSFORMER_DECODER,discrete_postcasting,medium,1000,1130,4,classification,0.8718823529411764,0.8730588235294118
TRANSFORMER_DECODER,discrete_postcasting,medium,1000,1130,5,classification,0.8750588235294118,0.8741882352941177
TRANSFORMER_DECODER,discrete_postcasting,medium,1000,1130,6,classification,0.8732941176470588,0.8732705882352941
TRANSFORMER_DECODER,discrete_postcasting,medium,1000,1130,7,classification,0.8699411764705882,0.8746352941176471
TRANSFORMER_DECODER,discrete_postcasting,medium,1000,1130,8,classification,0.8693529411764706,0.8745411764705883
TRANSFORMER_DECODER,discrete_postcasting,medium,1000,1130,9,classification,0.8758235294117647,0.8742705882352941
TRANSFORMER_DECODER,continuous_postcasting,medium,1000,1039,0,regression,0.18562805775811655,0.1857864942654447
TRANSFORMER_DECODER,continuous_postcasting,medium,1000,1039,1,regression,0.21106880355789057,0.2133971168363304
TRANSFORMER_DECODER,continuous_postcasting,medium,1000,1039,2,regression,0.15151980931005352,0.15138430886134285
TRANSFORMER_DECODER,continuous_postcasting,medium,1000,1039,3,regression,0.15085442665308466,0.15194771863609058
TRANSFORMER_DECODER,continuous_postcasting,medium,1000,1039,4,regression,0.1637079779040953,0.16347711251719832
TRANSFORMER_DECODER,continuous_postcasting,medium,1000,1039,5,regression,0.21159980111897242,0.21405770878017905
TRANSFORMER_DECODER,continuous_postcasting,medium,1000,1039,6,regression,0.0027219079772457296,0.002749491452424435
TRANSFORMER_DECODER,continuous_postcasting,medium,1000,1039,7,regression,0.14660536907680607,0.14911439052700642
TRANSFORMER_DECODER,continuous_postcasting,medium,1000,1039,8,regression,0.14897211690944,0.14782361890450854
TRANSFORMER_DECODER,continuous_postcasting,medium,1000,1039,9,regression,0.21283431888251406,0.2132357830178542
TRANSFORMER_DECODER,discrete_pattern_completion,medium,1000,1136,0,classification,0.8705,0.8645666666666667
TRANSFORMER_DECODER,discrete_pattern_completion,medium,1000,1136,1,classification,0.8656666666666667,0.8753
TRANSFORMER_DECODER,discrete_pattern_completion,medium,1000,1136,2,classification,0.867,0.8735666666666666
TRANSFORMER_DECODER,discrete_pattern_completion,medium,1000,1136,3,classification,0.7761666666666667,0.7767999999999999
TRANSFORMER_DECODER,discrete_pattern_completion,medium,1000,1136,4,classification,0.8623333333333334,0.8726333333333334
TRANSFORMER_DECODER,discrete_pattern_completion,medium,1000,1136,5,classification,0.8588333333333333,0.8727
TRANSFORMER_DECODER,discrete_pattern_completion,medium,1000,1136,6,classification,0.868,0.8703666666666667
TRANSFORMER_DECODER,discrete_pattern_completion,medium,1000,1136,7,classification,0.7753333333333333,0.7736333333333334
TRANSFORMER_DECODER,discrete_pattern_completion,medium,1000,1136,8,classification,0.768,0.7773
TRANSFORMER_DECODER,discrete_pattern_completion,medium,1000,1136,9,classification,0.8541666666666666,0.8708
TRANSFORMER_DECODER,continuous_pattern_completion,medium,1000,1039,0,regression,0.07735867266653668,0.0775773667980838
TRANSFORMER_DECODER,continuous_pattern_completion,medium,1000,1039,1,regression,0.08146859103576505,0.07849639523078171
TRANSFORMER_DECODER,continuous_pattern_completion,medium,1000,1039,2,regression,0.07809668614092137,0.07954146698126399
TRANSFORMER_DECODER,continuous_pattern_completion,medium,1000,1039,3,regression,0.07754776975916614,0.07767552256743686
TRANSFORMER_DECODER,continuous_pattern_completion,medium,1000,1039,4,regression,0.08540635827696558,0.0837969574235722
TRANSFORMER_DECODER,continuous_pattern_completion,medium,1000,1039,5,regression,0.07579516634843171,0.0773037149503997
TRANSFORMER_DECODER,continuous_pattern_completion,medium,1000,1039,6,regression,0.07596517434159177,0.07645826246502899
TRANSFORMER_DECODER,continuous_pattern_completion,medium,1000,1039,7,regression,0.07874905001737038,0.07825503633092624
TRANSFORMER_DECODER,continuous_pattern_completion,medium,1000,1039,8,regression,0.07904653378834205,0.07786215451038324
TRANSFORMER_DECODER,continuous_pattern_completion,medium,1000,1039,9,regression,0.08242388656916591,0.08268578815579726
TRANSFORMER_DECODER,bracket_matching,medium,1000,1058,0,classification,0.41500000000000004,0.405
TRANSFORMER_DECODER,bracket_matching,medium,1000,1058,1,classification,0.43000000000000005,0.501
TRANSFORMER_DECODER,bracket_matching,medium,1000,1058,2,classification,0.49,0.484
TRANSFORMER_DECODER,bracket_matching,medium,1000,1058,3,classification,0.32999999999999996,0.357
TRANSFORMER_DECODER,bracket_matching,medium,1000,1058,4,classification,0.30000000000000004,0.33999999999999997
TRANSFORMER_DECODER,bracket_matching,medium,1000,1058,5,classification,0.5,0.505
TRANSFORMER_DECODER,bracket_matching,medium,1000,1058,6,classification,0.49,0.495
TRANSFORMER_DECODER,bracket_matching,medium,1000,1058,7,classification,0.375,0.399
TRANSFORMER_DECODER,bracket_matching,medium,1000,1058,8,classification,0.475,0.493
TRANSFORMER_DECODER,bracket_matching,medium,1000,1058,9,classification,0.505,0.5
TRANSFORMER_DECODER,simple_copy,medium,1000,1136,0,classification,0.8737,0.87742
TRANSFORMER_DECODER,simple_copy,medium,1000,1136,1,classification,0.8713,0.87452
TRANSFORMER_DECODER,simple_copy,medium,1000,1136,2,classification,0.8689,0.8748400000000001
TRANSFORMER_DECODER,simple_copy,medium,1000,1136,3,classification,0.0,9.999999999998899e-05
TRANSFORMER_DECODER,simple_copy,medium,1000,1136,4,classification,0.6065,0.61248
TRANSFORMER_DECODER,simple_copy,medium,1000,1136,5,classification,0.8706,0.87432
TRANSFORMER_DECODER,simple_copy,medium,1000,1136,6,classification,0.8749,0.87604
TRANSFORMER_DECODER,simple_copy,medium,1000,1136,7,classification,0.8049999999999999,0.81408
TRANSFORMER_DECODER,simple_copy,medium,1000,1136,8,classification,0.8704000000000001,0.87348
TRANSFORMER_DECODER,simple_copy,medium,1000,1136,9,classification,0.8716,0.875
TRANSFORMER_DECODER,selective_copy,medium,1000,1142,0,classification,0.8694999999999999,0.8809
TRANSFORMER_DECODER,selective_copy,medium,1000,1142,1,classification,0.872,0.8762
TRANSFORMER_DECODER,selective_copy,medium,1000,1142,2,classification,0.8645,0.8783
TRANSFORMER_DECODER,selective_copy,medium,1000,1142,3,classification,0.8634999999999999,0.8759
TRANSFORMER_DECODER,selective_copy,medium,1000,1142,4,classification,0.877,0.8782
TRANSFORMER_DECODER,selective_copy,medium,1000,1142,5,classification,0.871,0.8802
TRANSFORMER_DECODER,selective_copy,medium,1000,1142,6,classification,0.8674999999999999,0.8774
TRANSFORMER_DECODER,selective_copy,medium,1000,1142,7,classification,0.872,0.8783
TRANSFORMER_DECODER,selective_copy,medium,1000,1142,8,classification,0.872,0.8687
TRANSFORMER_DECODER,selective_copy,medium,1000,1142,9,classification,0.8685,0.8713
TRANSFORMER_DECODER,adding_problem,medium,1000,607,0,classification,0.915,0.907
TRANSFORMER_DECODER,adding_problem,medium,1000,607,1,classification,0.845,0.877
TRANSFORMER_DECODER,adding_problem,medium,1000,607,2,classification,0.84,0.878
TRANSFORMER_DECODER,adding_problem,medium,1000,607,3,classification,0.895,0.894
TRANSFORMER_DECODER,adding_problem,medium,1000,607,4,classification,0.885,0.893
TRANSFORMER_DECODER,adding_problem,medium,1000,607,5,classification,0.88,0.889
TRANSFORMER_DECODER,adding_problem,medium,1000,607,6,classification,0.89,0.907
TRANSFORMER_DECODER,adding_problem,medium,1000,607,7,classification,0.89,0.9
TRANSFORMER_DECODER,adding_problem,medium,1000,607,8,classification,0.87,0.88
TRANSFORMER_DECODER,adding_problem,medium,1000,607,9,classification,0.915,0.899
TRANSFORMER_DECODER,sorting_problem,medium,1000,648,0,classification,0.87275,0.88015
TRANSFORMER_DECODER,sorting_problem,medium,1000,648,1,classification,0.871,0.87275
TRANSFORMER_DECODER,sorting_problem,medium,1000,648,2,classification,0.8645,0.8772
TRANSFORMER_DECODER,sorting_problem,medium,1000,648,3,classification,0.86225,0.8758
TRANSFORMER_DECODER,sorting_problem,medium,1000,648,4,classification,0.84625,0.84585
TRANSFORMER_DECODER,sorting_problem,medium,1000,648,5,classification,0.86425,0.8756
TRANSFORMER_DECODER,sorting_problem,medium,1000,648,6,classification,0.871,0.87295
TRANSFORMER_DECODER,sorting_problem,medium,1000,648,7,classification,0.86475,0.87075
TRANSFORMER_DECODER,sorting_problem,medium,1000,648,8,classification,0.85625,0.87025
TRANSFORMER_DECODER,sorting_problem,medium,1000,648,9,classification,0.83,0.8432999999999999
TRANSFORMER_DECODER,cross_situation,medium,1000,708,0,multi_classification,0.20303571428571432,0.7974642857142857
TRANSFORMER_DECODER,cross_situation,medium,1000,708,1,multi_classification,0.19392857142857145,0.7970714285714285
TRANSFORMER_DECODER,cross_situation,medium,1000,708,2,multi_classification,0.19839285714285715,0.7975
TRANSFORMER_DECODER,cross_situation,medium,1000,708,3,multi_classification,0.20392857142857146,0.7969285714285714
TRANSFORMER_DECODER,cross_situation,medium,1000,708,4,multi_classification,0.20375,0.7969285714285714
TRANSFORMER_DECODER,cross_situation,medium,1000,708,5,multi_classification,0.19339285714285714,0.7966428571428572
TRANSFORMER_DECODER,cross_situation,medium,1000,708,6,multi_classification,0.20446428571428577,0.7980714285714285
TRANSFORMER_DECODER,cross_situation,medium,1000,708,7,multi_classification,0.20375,0.7972142857142857
TRANSFORMER_DECODER,cross_situation,medium,1000,708,8,multi_classification,0.18500000000000005,0.7970357142857143
TRANSFORMER_DECODER,cross_situation,medium,1000,708,9,multi_classification,0.19607142857142856,0.7965357142857143
