Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
TRANSFORMER_ENCDEC,sinus_forecasting,small,10000,8941,0,regression,0.11340638716124915,0.18584060934326352
TRANSFORMER_ENCDEC,sinus_forecasting,small,10000,8941,1,regression,0.10532509282853124,0.13514429494958866
TRANSFORMER_ENCDEC,sinus_forecasting,small,10000,8941,2,regression,0.033392605851306795,0.04479549543330512
TRANSFORMER_ENCDEC,sinus_forecasting,small,10000,8941,3,regression,0.047091684841014884,0.16196101213791111
TRANSFORMER_ENCDEC,sinus_forecasting,small,10000,8941,4,regression,0.0189563189131996,0.04357025565364278
TRANSFORMER_ENCDEC,sinus_forecasting,small,10000,8941,5,regression,0.03671536257838006,0.08677012239711812
TRANSFORMER_ENCDEC,sinus_forecasting,small,10000,8941,6,regression,0.027168107945976582,0.06597878711867222
TRANSFORMER_ENCDEC,sinus_forecasting,small,10000,8941,7,regression,0.0372961164965923,0.11864889461598185
TRANSFORMER_ENCDEC,sinus_forecasting,small,10000,8941,8,regression,0.029206455262360275,0.25553881669409145
TRANSFORMER_ENCDEC,sinus_forecasting,small,10000,8941,9,regression,0.040657198433358854,0.10473605491763543
TRANSFORMER_ENCDEC,chaotic_forecasting,small,10000,9015,0,regression,0.00973029070607998,0.0508210435038592
TRANSFORMER_ENCDEC,chaotic_forecasting,small,10000,9015,1,regression,0.014543302726198205,0.07305580398721827
TRANSFORMER_ENCDEC,chaotic_forecasting,small,10000,9015,2,regression,0.05108498170224718,0.12004073493252515
TRANSFORMER_ENCDEC,chaotic_forecasting,small,10000,9015,3,regression,0.01402663239731997,0.046534106874388054
TRANSFORMER_ENCDEC,chaotic_forecasting,small,10000,9015,4,regression,0.04541840534124839,0.09624618038015613
TRANSFORMER_ENCDEC,chaotic_forecasting,small,10000,9015,5,regression,0.056906711586038286,0.10901493943706783
TRANSFORMER_ENCDEC,chaotic_forecasting,small,10000,9015,6,regression,0.04512249810684348,0.08192732170759824
TRANSFORMER_ENCDEC,chaotic_forecasting,small,10000,9015,7,regression,0.06292777478292612,0.10463534205113069
TRANSFORMER_ENCDEC,chaotic_forecasting,small,10000,9015,8,regression,0.010006562598459537,0.052688230712832275
TRANSFORMER_ENCDEC,chaotic_forecasting,small,10000,9015,9,regression,0.035884050817800654,0.06936977360999017
TRANSFORMER_ENCDEC,discrete_postcasting,small,10000,9015,0,classification,0.5811111111111111,0.5728888888888889
TRANSFORMER_ENCDEC,discrete_postcasting,small,10000,9015,1,classification,0.6544444444444444,0.6766666666666667
TRANSFORMER_ENCDEC,discrete_postcasting,small,10000,9015,2,classification,0.6044444444444445,0.6502222222222223
TRANSFORMER_ENCDEC,discrete_postcasting,small,10000,9015,3,classification,0.6533333333333333,0.6651111111111111
TRANSFORMER_ENCDEC,discrete_postcasting,small,10000,9015,4,classification,0.6533333333333333,0.6426666666666667
TRANSFORMER_ENCDEC,discrete_postcasting,small,10000,9015,5,classification,0.6222222222222222,0.6737777777777778
TRANSFORMER_ENCDEC,discrete_postcasting,small,10000,9015,6,classification,0.6644444444444444,0.6795555555555556
TRANSFORMER_ENCDEC,discrete_postcasting,small,10000,9015,7,classification,0.6344444444444444,0.6675555555555556
TRANSFORMER_ENCDEC,discrete_postcasting,small,10000,9015,8,classification,0.6522222222222223,0.6697777777777778
TRANSFORMER_ENCDEC,discrete_postcasting,small,10000,9015,9,classification,0.6433333333333333,0.6468888888888888
TRANSFORMER_ENCDEC,continuous_postcasting,small,10000,8941,0,regression,0.16192029961072907,0.17179968659147832
TRANSFORMER_ENCDEC,continuous_postcasting,small,10000,8941,1,regression,0.20591852054326132,0.2055277129806467
TRANSFORMER_ENCDEC,continuous_postcasting,small,10000,8941,2,regression,0.21107270052207092,0.21601486424397617
TRANSFORMER_ENCDEC,continuous_postcasting,small,10000,8941,3,regression,0.13054786403590055,0.13108352909128385
TRANSFORMER_ENCDEC,continuous_postcasting,small,10000,8941,4,regression,0.2002406913804975,0.2039142300640726
TRANSFORMER_ENCDEC,continuous_postcasting,small,10000,8941,5,regression,0.1794748873201194,0.17227837279052105
TRANSFORMER_ENCDEC,continuous_postcasting,small,10000,8941,6,regression,0.20639546481340945,0.2104948877559303
TRANSFORMER_ENCDEC,continuous_postcasting,small,10000,8941,7,regression,0.22179419031042757,0.21666959024567517
TRANSFORMER_ENCDEC,continuous_postcasting,small,10000,8941,8,regression,0.20052227557144828,0.2059238474480443
TRANSFORMER_ENCDEC,continuous_postcasting,small,10000,8941,9,regression,0.22441340364304388,0.21397860108157404
TRANSFORMER_ENCDEC,discrete_pattern_completion,small,10000,9039,0,classification,0.625,0.6025
TRANSFORMER_ENCDEC,discrete_pattern_completion,small,10000,9039,1,classification,0.44999999999999996,0.405
TRANSFORMER_ENCDEC,discrete_pattern_completion,small,10000,9039,2,classification,0.44166666666666665,0.49083333333333334
TRANSFORMER_ENCDEC,discrete_pattern_completion,small,10000,9039,3,classification,0.38749999999999996,0.4108333333333334
TRANSFORMER_ENCDEC,discrete_pattern_completion,small,10000,9039,4,classification,0.5625,0.6416666666666666
TRANSFORMER_ENCDEC,discrete_pattern_completion,small,10000,9039,5,classification,0.4458333333333333,0.4158333333333334
TRANSFORMER_ENCDEC,discrete_pattern_completion,small,10000,9039,6,classification,0.47916666666666663,0.4816666666666667
TRANSFORMER_ENCDEC,discrete_pattern_completion,small,10000,9039,7,classification,0.5041666666666667,0.47750000000000004
TRANSFORMER_ENCDEC,discrete_pattern_completion,small,10000,9039,8,classification,0.3666666666666667,0.4441666666666667
TRANSFORMER_ENCDEC,discrete_pattern_completion,small,10000,9039,9,classification,0.41666666666666663,0.3916666666666667
TRANSFORMER_ENCDEC,continuous_pattern_completion,small,10000,8941,0,regression,0.0697475056799169,0.059261032629202265
TRANSFORMER_ENCDEC,continuous_pattern_completion,small,10000,8941,1,regression,0.07271984453814652,0.07372129189178928
TRANSFORMER_ENCDEC,continuous_pattern_completion,small,10000,8941,2,regression,0.05663365641615722,0.06391341024248016
TRANSFORMER_ENCDEC,continuous_pattern_completion,small,10000,8941,3,regression,0.07240993368956926,0.0631665689527471
TRANSFORMER_ENCDEC,continuous_pattern_completion,small,10000,8941,4,regression,0.07691502985681248,0.08053846486251678
TRANSFORMER_ENCDEC,continuous_pattern_completion,small,10000,8941,5,regression,0.06110900665307654,0.0739201705018662
TRANSFORMER_ENCDEC,continuous_pattern_completion,small,10000,8941,6,regression,0.07882199196879204,0.0864490351905087
TRANSFORMER_ENCDEC,continuous_pattern_completion,small,10000,8941,7,regression,0.06633482872636502,0.09009251489785498
TRANSFORMER_ENCDEC,continuous_pattern_completion,small,10000,8941,8,regression,0.06141517791896041,0.06597986722908758
TRANSFORMER_ENCDEC,continuous_pattern_completion,small,10000,8941,9,regression,0.06392292179693802,0.06095528531704037
TRANSFORMER_ENCDEC,bracket_matching,small,10000,9002,0,classification,0.30000000000000004,0.43999999999999995
TRANSFORMER_ENCDEC,bracket_matching,small,10000,9002,1,classification,0.7,0.49
TRANSFORMER_ENCDEC,bracket_matching,small,10000,9002,2,classification,0.4,0.39
TRANSFORMER_ENCDEC,bracket_matching,small,10000,9002,3,classification,0.44999999999999996,0.43999999999999995
TRANSFORMER_ENCDEC,bracket_matching,small,10000,9002,4,classification,0.6,0.48
TRANSFORMER_ENCDEC,bracket_matching,small,10000,9002,5,classification,0.4,0.43999999999999995
TRANSFORMER_ENCDEC,bracket_matching,small,10000,9002,6,classification,0.5,0.49
TRANSFORMER_ENCDEC,bracket_matching,small,10000,9002,7,classification,0.35,0.47
TRANSFORMER_ENCDEC,bracket_matching,small,10000,9002,8,classification,0.44999999999999996,0.55
TRANSFORMER_ENCDEC,bracket_matching,small,10000,9002,9,classification,0.4,0.42000000000000004
TRANSFORMER_ENCDEC,simple_copy,small,10000,9039,0,classification,0.625,0.6640909090909091
TRANSFORMER_ENCDEC,simple_copy,small,10000,9039,1,classification,0.6363636363636364,0.6609090909090909
TRANSFORMER_ENCDEC,simple_copy,small,10000,9039,2,classification,0.6409090909090909,0.6799999999999999
TRANSFORMER_ENCDEC,simple_copy,small,10000,9039,3,classification,0.6409090909090909,0.6431818181818182
TRANSFORMER_ENCDEC,simple_copy,small,10000,9039,4,classification,0.6386363636363637,0.6786363636363637
TRANSFORMER_ENCDEC,simple_copy,small,10000,9039,5,classification,0.634090909090909,0.6699999999999999
TRANSFORMER_ENCDEC,simple_copy,small,10000,9039,6,classification,0.5840909090909091,0.6068181818181818
TRANSFORMER_ENCDEC,simple_copy,small,10000,9039,7,classification,0.5340909090909092,0.6090909090909091
TRANSFORMER_ENCDEC,simple_copy,small,10000,9039,8,classification,0.6204545454545455,0.6709090909090909
TRANSFORMER_ENCDEC,simple_copy,small,10000,9039,9,classification,0.6454545454545455,0.6640909090909091
TRANSFORMER_ENCDEC,selective_copy,small,10000,9063,0,classification,0.6599999999999999,0.638
TRANSFORMER_ENCDEC,selective_copy,small,10000,9063,1,classification,0.64,0.644
TRANSFORMER_ENCDEC,selective_copy,small,10000,9063,2,classification,0.65,0.692
TRANSFORMER_ENCDEC,selective_copy,small,10000,9063,3,classification,0.62,0.656
TRANSFORMER_ENCDEC,selective_copy,small,10000,9063,4,classification,0.64,0.694
TRANSFORMER_ENCDEC,selective_copy,small,10000,9063,5,classification,0.6,0.6639999999999999
TRANSFORMER_ENCDEC,selective_copy,small,10000,9063,6,classification,0.63,0.654
TRANSFORMER_ENCDEC,selective_copy,small,10000,9063,7,classification,0.6599999999999999,0.65
TRANSFORMER_ENCDEC,selective_copy,small,10000,9063,8,classification,0.63,0.644
TRANSFORMER_ENCDEC,selective_copy,small,10000,9063,9,classification,0.63,0.692
TRANSFORMER_ENCDEC,adding_problem,small,10000,9089,0,classification,0.75,0.83
TRANSFORMER_ENCDEC,adding_problem,small,10000,9089,1,classification,0.65,0.6699999999999999
TRANSFORMER_ENCDEC,adding_problem,small,10000,9089,2,classification,0.75,0.61
TRANSFORMER_ENCDEC,adding_problem,small,10000,9089,3,classification,0.5,0.7
TRANSFORMER_ENCDEC,adding_problem,small,10000,9089,4,classification,0.75,0.6599999999999999
TRANSFORMER_ENCDEC,adding_problem,small,10000,9089,5,classification,0.5,0.6699999999999999
TRANSFORMER_ENCDEC,adding_problem,small,10000,9089,6,classification,0.75,0.6799999999999999
TRANSFORMER_ENCDEC,adding_problem,small,10000,9089,7,classification,0.65,0.62
TRANSFORMER_ENCDEC,adding_problem,small,10000,9089,8,classification,0.55,0.75
TRANSFORMER_ENCDEC,adding_problem,small,10000,9089,9,classification,0.7,0.73
TRANSFORMER_ENCDEC,sorting_problem,small,10000,9279,0,classification,0.5,0.5329999999999999
TRANSFORMER_ENCDEC,sorting_problem,small,10000,9279,1,classification,0.505,0.5349999999999999
TRANSFORMER_ENCDEC,sorting_problem,small,10000,9279,2,classification,0.62,0.6679999999999999
TRANSFORMER_ENCDEC,sorting_problem,small,10000,9279,3,classification,0.5549999999999999,0.657
