Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
TRANSFORMER_DECODER,sinus_forecasting,small,100000,100161,0,regression,0.030667258776598493,0.10744285465333836
TRANSFORMER_DECODER,sinus_forecasting,small,100000,100161,1,regression,0.025756485527598866,0.026841971053752144
TRANSFORMER_DECODER,sinus_forecasting,small,100000,100161,2,regression,0.01359297792484696,0.06623787009310561
TRANSFORMER_DECODER,sinus_forecasting,small,100000,100161,3,regression,0.030926987894905684,0.08452105728642761
TRANSFORMER_DECODER,sinus_forecasting,small,100000,100161,4,regression,0.01792944496965519,0.3949491115922017
TRANSFORMER_DECODER,sinus_forecasting,small,100000,100161,5,regression,0.027036962770513834,0.05403022754020691
TRANSFORMER_DECODER,sinus_forecasting,small,100000,100161,6,regression,0.009343125594599657,0.09020417666417625
TRANSFORMER_DECODER,sinus_forecasting,small,100000,100161,7,regression,0.03152027273623988,0.02847280979797134
TRANSFORMER_DECODER,sinus_forecasting,small,100000,100161,8,regression,0.018186787830489107,0.10306459611508652
TRANSFORMER_DECODER,sinus_forecasting,small,100000,100161,9,regression,0.0281745159112598,0.036822978363558495
TRANSFORMER_DECODER,chaotic_forecasting,small,100000,100419,0,regression,0.05949587752851683,0.07819838221980428
TRANSFORMER_DECODER,chaotic_forecasting,small,100000,100419,1,regression,0.016532805539838203,0.12590302545668675
TRANSFORMER_DECODER,chaotic_forecasting,small,100000,100419,2,regression,0.027879662400123163,0.07244773600437313
TRANSFORMER_DECODER,chaotic_forecasting,small,100000,100419,3,regression,0.019036460915218805,0.11130660032361686
TRANSFORMER_DECODER,chaotic_forecasting,small,100000,100419,4,regression,0.078423997471305,0.14583505183685216
TRANSFORMER_DECODER,chaotic_forecasting,small,100000,100419,5,regression,0.0209703492900163,0.08606739796473171
TRANSFORMER_DECODER,chaotic_forecasting,small,100000,100419,6,regression,0.064012618325781,0.07347318247268286
TRANSFORMER_DECODER,chaotic_forecasting,small,100000,100419,7,regression,0.0233224654420529,0.10514477344591196
TRANSFORMER_DECODER,chaotic_forecasting,small,100000,100419,8,regression,0.022666621471108418,0.05978589695885535
TRANSFORMER_DECODER,chaotic_forecasting,small,100000,100419,9,regression,0.10155628203462753,0.07167082050884348
TRANSFORMER_DECODER,discrete_postcasting,small,100000,100419,0,classification,0.0,0.0004444444444444695
TRANSFORMER_DECODER,discrete_postcasting,small,100000,100419,1,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,small,100000,100419,2,classification,0.0,0.00022222222222223476
TRANSFORMER_DECODER,discrete_postcasting,small,100000,100419,3,classification,0.0,0.00022222222222223476
TRANSFORMER_DECODER,discrete_postcasting,small,100000,100419,4,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,small,100000,100419,5,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,small,100000,100419,6,classification,0.0,0.0020000000000000018
TRANSFORMER_DECODER,discrete_postcasting,small,100000,100419,7,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,small,100000,100419,8,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,small,100000,100419,9,classification,0.0,0.0004444444444444695
TRANSFORMER_DECODER,continuous_postcasting,small,100000,100161,0,regression,0.00041833894470448703,0.000455788225257434
TRANSFORMER_DECODER,continuous_postcasting,small,100000,100161,1,regression,0.0011946583760284145,0.001208490621480772
TRANSFORMER_DECODER,continuous_postcasting,small,100000,100161,2,regression,0.0005018972246651683,0.0005331915393381809
TRANSFORMER_DECODER,continuous_postcasting,small,100000,100161,3,regression,0.0004789145050471449,0.0005102894523126006
TRANSFORMER_DECODER,continuous_postcasting,small,100000,100161,4,regression,0.00040887341092766123,0.00041391685493425665
TRANSFORMER_DECODER,continuous_postcasting,small,100000,100161,5,regression,0.00038532561428370236,0.00038290455639101187
TRANSFORMER_DECODER,continuous_postcasting,small,100000,100161,6,regression,0.001356971542055194,0.0014646927281932835
TRANSFORMER_DECODER,continuous_postcasting,small,100000,100161,7,regression,0.0005850295861092022,0.0005660250974151529
TRANSFORMER_DECODER,continuous_postcasting,small,100000,100161,8,regression,0.00022976582090437558,0.00023258381830637247
TRANSFORMER_DECODER,continuous_postcasting,small,100000,100161,9,regression,0.04736319669980103,0.04605136444613172
TRANSFORMER_DECODER,discrete_pattern_completion,small,100000,100483,0,classification,0.4708333333333333,0.48
TRANSFORMER_DECODER,discrete_pattern_completion,small,100000,100483,1,classification,0.44166666666666665,0.41833333333333333
TRANSFORMER_DECODER,discrete_pattern_completion,small,100000,100483,2,classification,0.42500000000000004,0.48083333333333333
TRANSFORMER_DECODER,discrete_pattern_completion,small,100000,100483,3,classification,0.39583333333333337,0.44499999999999995
TRANSFORMER_DECODER,discrete_pattern_completion,small,100000,100483,4,classification,0.3833333333333333,0.4458333333333333
TRANSFORMER_DECODER,discrete_pattern_completion,small,100000,100483,5,classification,0.475,0.4291666666666667
TRANSFORMER_DECODER,discrete_pattern_completion,small,100000,100483,6,classification,0.44166666666666665,0.4441666666666667
TRANSFORMER_DECODER,discrete_pattern_completion,small,100000,100483,7,classification,0.375,0.43000000000000005
TRANSFORMER_DECODER,discrete_pattern_completion,small,100000,100483,8,classification,0.38749999999999996,0.46166666666666667
TRANSFORMER_DECODER,discrete_pattern_completion,small,100000,100483,9,classification,0.4,0.4058333333333334
TRANSFORMER_DECODER,continuous_pattern_completion,small,100000,100161,0,regression,0.0762613861138127,0.07032665743484227
TRANSFORMER_DECODER,continuous_pattern_completion,small,100000,100161,1,regression,0.07606791466701372,0.08030650948894791
TRANSFORMER_DECODER,continuous_pattern_completion,small,100000,100161,2,regression,0.063664738273324,0.06845010680541158
TRANSFORMER_DECODER,continuous_pattern_completion,small,100000,100161,3,regression,0.07620954314823992,0.06622250035874856
TRANSFORMER_DECODER,continuous_pattern_completion,small,100000,100161,4,regression,0.060404782355659506,0.06479067040518574
TRANSFORMER_DECODER,continuous_pattern_completion,small,100000,100161,5,regression,0.06495908777091366,0.07634130633601664
TRANSFORMER_DECODER,continuous_pattern_completion,small,100000,100161,6,regression,0.07047088245885262,0.07269436389010493
TRANSFORMER_DECODER,continuous_pattern_completion,small,100000,100161,7,regression,0.06597355304944383,0.09277884731654847
TRANSFORMER_DECODER,continuous_pattern_completion,small,100000,100161,8,regression,0.06321906612262153,0.07022164247160682
TRANSFORMER_DECODER,continuous_pattern_completion,small,100000,100161,9,regression,0.07255775281234132,0.07816573907270025
TRANSFORMER_DECODER,bracket_matching,small,100000,100354,0,classification,0.30000000000000004,0.43999999999999995
TRANSFORMER_DECODER,bracket_matching,small,100000,100354,1,classification,0.30000000000000004,0.51
TRANSFORMER_DECODER,bracket_matching,small,100000,100354,2,classification,0.25,0.51
TRANSFORMER_DECODER,bracket_matching,small,100000,100354,3,classification,0.44999999999999996,0.43999999999999995
TRANSFORMER_DECODER,bracket_matching,small,100000,100354,4,classification,0.4,0.52
TRANSFORMER_DECODER,bracket_matching,small,100000,100354,5,classification,0.44999999999999996,0.52
TRANSFORMER_DECODER,bracket_matching,small,100000,100354,6,classification,0.5,0.51
TRANSFORMER_DECODER,bracket_matching,small,100000,100354,7,classification,0.35,0.47
TRANSFORMER_DECODER,bracket_matching,small,100000,100354,8,classification,0.44999999999999996,0.55
TRANSFORMER_DECODER,bracket_matching,small,100000,100354,9,classification,0.35,0.39
TRANSFORMER_DECODER,simple_copy,small,100000,100483,0,classification,0.0,0.002272727272727315
TRANSFORMER_DECODER,simple_copy,small,100000,100483,1,classification,0.0,0.004545454545454519
TRANSFORMER_DECODER,simple_copy,small,100000,100483,2,classification,0.0,0.0
TRANSFORMER_DECODER,simple_copy,small,100000,100483,3,classification,0.6045454545454545,0.6386363636363637
TRANSFORMER_DECODER,simple_copy,small,100000,100483,4,classification,0.0,0.0
TRANSFORMER_DECODER,simple_copy,small,100000,100483,5,classification,0.6295454545454545,0.6722727272727274
TRANSFORMER_DECODER,simple_copy,small,100000,100483,6,classification,0.6068181818181818,0.6836363636363636
TRANSFORMER_DECODER,simple_copy,small,100000,100483,7,classification,0.0,0.0
TRANSFORMER_DECODER,simple_copy,small,100000,100483,8,classification,0.0,0.0
TRANSFORMER_DECODER,simple_copy,small,100000,100483,9,classification,0.0,0.0
TRANSFORMER_DECODER,selective_copy,small,100000,100547,0,classification,0.54,0.642
TRANSFORMER_DECODER,selective_copy,small,100000,100547,1,classification,0.55,0.6739999999999999
TRANSFORMER_DECODER,selective_copy,small,100000,100547,2,classification,0.06999999999999995,0.10599999999999998
TRANSFORMER_DECODER,selective_copy,small,100000,100547,3,classification,0.62,0.634
TRANSFORMER_DECODER,selective_copy,small,100000,100547,4,classification,0.61,0.6679999999999999
TRANSFORMER_DECODER,selective_copy,small,100000,100547,5,classification,0.6,0.6739999999999999
TRANSFORMER_DECODER,selective_copy,small,100000,100547,6,classification,0.63,0.6779999999999999
TRANSFORMER_DECODER,selective_copy,small,100000,100547,7,classification,0.6599999999999999,0.6699999999999999
TRANSFORMER_DECODER,selective_copy,small,100000,100547,8,classification,0.62,0.6859999999999999
TRANSFORMER_DECODER,selective_copy,small,100000,100547,9,classification,0.06999999999999995,0.126
TRANSFORMER_DECODER,adding_problem,small,100000,100677,0,classification,0.75,0.83
TRANSFORMER_DECODER,adding_problem,small,100000,100677,1,classification,0.65,0.6699999999999999
TRANSFORMER_DECODER,adding_problem,small,100000,100677,2,classification,0.6,0.78
TRANSFORMER_DECODER,adding_problem,small,100000,100677,3,classification,0.5,0.7
TRANSFORMER_DECODER,adding_problem,small,100000,100677,4,classification,0.75,0.6599999999999999
TRANSFORMER_DECODER,adding_problem,small,100000,100677,5,classification,0.5,0.6699999999999999
TRANSFORMER_DECODER,adding_problem,small,100000,100677,6,classification,0.75,0.6799999999999999
TRANSFORMER_DECODER,adding_problem,small,100000,100677,7,classification,0.65,0.63
TRANSFORMER_DECODER,adding_problem,small,100000,100677,8,classification,0.0,0.0
TRANSFORMER_DECODER,adding_problem,small,100000,100677,9,classification,0.7,0.73
TRANSFORMER_DECODER,sorting_problem,small,100000,101123,0,classification,0.0,0.0
TRANSFORMER_DECODER,sorting_problem,small,100000,101123,1,classification,0.0,0.0
TRANSFORMER_DECODER,sorting_problem,small,100000,101123,2,classification,0.0,0.0010000000000000009
TRANSFORMER_DECODER,sorting_problem,small,100000,101123,3,classification,0.0,0.0
TRANSFORMER_DECODER,sorting_problem,small,100000,101123,4,classification,0.585,0.6599999999999999
TRANSFORMER_DECODER,sorting_problem,small,100000,101123,5,classification,0.645,0.7090000000000001
TRANSFORMER_DECODER,sorting_problem,small,100000,101123,6,classification,0.585,0.6739999999999999
TRANSFORMER_DECODER,sorting_problem,small,100000,101123,7,classification,0.0,0.020000000000000018
TRANSFORMER_DECODER,sorting_problem,small,100000,101123,8,classification,0.0,0.0040000000000000036
TRANSFORMER_DECODER,sorting_problem,small,100000,101123,9,classification,0.0,0.007000000000000006
TRANSFORMER_DECODER,cross_situation,small,100000,95870,0,multi_classification,1.0,1.0
TRANSFORMER_DECODER,cross_situation,small,100000,95870,1,multi_classification,1.0,1.0
TRANSFORMER_DECODER,cross_situation,small,100000,95870,2,multi_classification,1.0,1.0
TRANSFORMER_DECODER,cross_situation,small,100000,95870,3,multi_classification,1.0,1.0
TRANSFORMER_DECODER,cross_situation,small,100000,95870,4,multi_classification,1.0,1.0
TRANSFORMER_DECODER,cross_situation,small,100000,95870,5,multi_classification,1.0,1.0
TRANSFORMER_DECODER,cross_situation,small,100000,95870,6,multi_classification,1.0,1.0
TRANSFORMER_DECODER,cross_situation,small,100000,95870,7,multi_classification,1.0,1.0
TRANSFORMER_DECODER,cross_situation,small,100000,95870,8,multi_classification,1.0,1.0
TRANSFORMER_DECODER,cross_situation,small,100000,95870,9,multi_classification,1.0,1.0
