Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
TRANSFORMER_DECODER,sinus_forecasting,medium,10000,10181,0,regression,0.23300702744039317,0.22777785864746877
TRANSFORMER_DECODER,sinus_forecasting,medium,10000,10181,1,regression,0.1437528591307676,0.13473521003164132
TRANSFORMER_DECODER,sinus_forecasting,medium,10000,10181,2,regression,0.09497404026759104,0.12558276516568292
TRANSFORMER_DECODER,sinus_forecasting,medium,10000,10181,3,regression,0.07762770040793127,0.09886575086166254
TRANSFORMER_DECODER,sinus_forecasting,medium,10000,10181,4,regression,0.07788294177840786,0.30805637828748916
TRANSFORMER_DECODER,sinus_forecasting,medium,10000,10181,5,regression,0.12247362044927397,0.165023329065177
TRANSFORMER_DECODER,sinus_forecasting,medium,10000,10181,6,regression,0.09677856713151568,0.11982100934733425
TRANSFORMER_DECODER,sinus_forecasting,medium,10000,10181,7,regression,0.16885308550693343,0.1390206145700061
TRANSFORMER_DECODER,sinus_forecasting,medium,10000,10181,8,regression,0.09499140970062576,0.0936106166973561
TRANSFORMER_DECODER,sinus_forecasting,medium,10000,10181,9,regression,0.10988827368023862,0.10450779989684249
TRANSFORMER_DECODER,chaotic_forecasting,medium,10000,10263,0,regression,0.07200651482282798,0.134513169527789
TRANSFORMER_DECODER,chaotic_forecasting,medium,10000,10263,1,regression,0.05848649705204738,0.16023171806354583
TRANSFORMER_DECODER,chaotic_forecasting,medium,10000,10263,2,regression,0.08876419039244694,0.14732177875557348
TRANSFORMER_DECODER,chaotic_forecasting,medium,10000,10263,3,regression,0.06536851260301245,0.11528869466430397
TRANSFORMER_DECODER,chaotic_forecasting,medium,10000,10263,4,regression,0.040123910466226674,0.22188575487737464
TRANSFORMER_DECODER,chaotic_forecasting,medium,10000,10263,5,regression,0.09771980892120495,0.2812604654694217
TRANSFORMER_DECODER,chaotic_forecasting,medium,10000,10263,6,regression,0.09883679917206953,0.12101132023826759
TRANSFORMER_DECODER,chaotic_forecasting,medium,10000,10263,7,regression,0.06310389948707947,0.24210554908912332
TRANSFORMER_DECODER,chaotic_forecasting,medium,10000,10263,8,regression,0.02943969130314771,0.3200622235178042
TRANSFORMER_DECODER,chaotic_forecasting,medium,10000,10263,9,regression,0.027207736633747644,0.19330005982199863
TRANSFORMER_DECODER,discrete_postcasting,medium,10000,10468,0,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,medium,10000,10468,1,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,medium,10000,10468,2,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,medium,10000,10468,3,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,medium,10000,10468,4,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,medium,10000,10468,5,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,medium,10000,10468,6,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,medium,10000,10468,7,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,medium,10000,10468,8,classification,0.0,0.0
TRANSFORMER_DECODER,discrete_postcasting,medium,10000,10468,9,classification,0.0,0.0
TRANSFORMER_DECODER,continuous_postcasting,medium,10000,10181,0,regression,0.0002914536810719825,0.0002877138263028347
TRANSFORMER_DECODER,continuous_postcasting,medium,10000,10181,1,regression,0.00017642270594741226,0.00017688881145399185
TRANSFORMER_DECODER,continuous_postcasting,medium,10000,10181,2,regression,0.001530100475842496,0.0015655999236561927
TRANSFORMER_DECODER,continuous_postcasting,medium,10000,10181,3,regression,0.00010813273182857715,0.00010660167264086932
