Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score
TRANSFORMER_ENCDEC,sinus_forecasting,medium,10000,8941,0,regression,0.07479332260708102,0.29725196676831933
TRANSFORMER_ENCDEC,sinus_forecasting,medium,10000,8941,1,regression,0.0853657539928565,0.0923298380787581
TRANSFORMER_ENCDEC,sinus_forecasting,medium,10000,8941,2,regression,0.08268826470666361,0.1531144401477376
TRANSFORMER_ENCDEC,sinus_forecasting,medium,10000,8941,3,regression,0.07091259952708338,0.24960284305853966
TRANSFORMER_ENCDEC,sinus_forecasting,medium,10000,8941,4,regression,0.10795653711668614,0.1211509523920125
TRANSFORMER_ENCDEC,sinus_forecasting,medium,10000,8941,5,regression,0.1358137696074461,0.3275384868316101
TRANSFORMER_ENCDEC,sinus_forecasting,medium,10000,8941,6,regression,0.10964775987123389,0.2519327828125293
TRANSFORMER_ENCDEC,sinus_forecasting,medium,10000,8941,7,regression,0.10570293324657733,0.08639990079952765
TRANSFORMER_ENCDEC,sinus_forecasting,medium,10000,8941,8,regression,0.059723665175760846,0.15883681457429835
TRANSFORMER_ENCDEC,sinus_forecasting,medium,10000,8941,9,regression,0.09810966512329722,0.2725666573867209
TRANSFORMER_ENCDEC,chaotic_forecasting,medium,10000,9015,0,regression,0.06606281496802158,0.10404955182031381
TRANSFORMER_ENCDEC,chaotic_forecasting,medium,10000,9015,1,regression,0.12892727935045317,0.10011812794248573
TRANSFORMER_ENCDEC,chaotic_forecasting,medium,10000,9015,2,regression,0.1191193672265613,0.12114397552060678
TRANSFORMER_ENCDEC,chaotic_forecasting,medium,10000,9015,3,regression,0.042094444248920455,0.08443997113269754
TRANSFORMER_ENCDEC,chaotic_forecasting,medium,10000,9015,4,regression,0.13200497896756044,0.11636870745702542
TRANSFORMER_ENCDEC,chaotic_forecasting,medium,10000,9015,5,regression,0.12582303289173238,0.1079149547068321
TRANSFORMER_ENCDEC,chaotic_forecasting,medium,10000,9015,6,regression,0.12100198525017702,0.106575982898111
TRANSFORMER_ENCDEC,chaotic_forecasting,medium,10000,9015,7,regression,0.12049054398460939,0.12419654222201408
TRANSFORMER_ENCDEC,chaotic_forecasting,medium,10000,9015,8,regression,0.11130468426704923,0.1227150647742936
TRANSFORMER_ENCDEC,chaotic_forecasting,medium,10000,9015,9,regression,0.08178030613427789,0.07448744367654309
TRANSFORMER_ENCDEC,discrete_postcasting,medium,10000,9200,0,classification,0.0,2.3529411764755537e-05
TRANSFORMER_ENCDEC,discrete_postcasting,medium,10000,9200,1,classification,0.0,0.0
TRANSFORMER_ENCDEC,discrete_postcasting,medium,10000,9200,2,classification,0.0,9.41176470588001e-05
TRANSFORMER_ENCDEC,discrete_postcasting,medium,10000,9200,3,classification,0.0,0.0
TRANSFORMER_ENCDEC,discrete_postcasting,medium,10000,9200,4,classification,0.0,5.882352941177782e-05
TRANSFORMER_ENCDEC,discrete_postcasting,medium,10000,9200,5,classification,0.0,1.1764705882377768e-05
TRANSFORMER_ENCDEC,discrete_postcasting,medium,10000,9200,6,classification,0.0,0.0
TRANSFORMER_ENCDEC,discrete_postcasting,medium,10000,9200,7,classification,0.0,7.058823529415559e-05
TRANSFORMER_ENCDEC,discrete_postcasting,medium,10000,9200,8,classification,0.0,0.0
TRANSFORMER_ENCDEC,discrete_postcasting,medium,10000,9200,9,classification,0.0,3.529411764702228e-05
TRANSFORMER_ENCDEC,continuous_postcasting,medium,10000,8941,0,regression,0.0033758669543799634,0.003333558810673027
TRANSFORMER_ENCDEC,continuous_postcasting,medium,10000,8941,1,regression,0.0042790845805221085,0.004312876880566746
TRANSFORMER_ENCDEC,continuous_postcasting,medium,10000,8941,2,regression,0.001471109844093995,0.0014537263425587487
TRANSFORMER_ENCDEC,continuous_postcasting,medium,10000,8941,3,regression,0.0021039060596729623,0.0020967582946402326
TRANSFORMER_ENCDEC,continuous_postcasting,medium,10000,8941,4,regression,0.000405637041381626,0.00040732674387488406
TRANSFORMER_ENCDEC,continuous_postcasting,medium,10000,8941,5,regression,0.002956409749570472,0.002939630646446172
TRANSFORMER_ENCDEC,continuous_postcasting,medium,10000,8941,6,regression,0.001184919943761747,0.0012165889957228004
TRANSFORMER_ENCDEC,continuous_postcasting,medium,10000,8941,7,regression,0.21005011813689417,0.21254969521705916
TRANSFORMER_ENCDEC,continuous_postcasting,medium,10000,8941,8,regression,0.00022920255374505967,0.00022635869702048386
TRANSFORMER_ENCDEC,continuous_postcasting,medium,10000,8941,9,regression,0.00124251664573714,0.0012643234244583905
TRANSFORMER_ENCDEC,discrete_pattern_completion,medium,10000,9224,0,classification,0.7136666666666667,0.7348666666666667
TRANSFORMER_ENCDEC,discrete_pattern_completion,medium,10000,9224,1,classification,0.7218333333333333,0.7233666666666667
TRANSFORMER_ENCDEC,discrete_pattern_completion,medium,10000,9224,2,classification,0.714,0.7207333333333333
TRANSFORMER_ENCDEC,discrete_pattern_completion,medium,10000,9224,3,classification,0.7215,0.7321666666666666
TRANSFORMER_ENCDEC,discrete_pattern_completion,medium,10000,9224,4,classification,0.728,0.7164333333333333
TRANSFORMER_ENCDEC,discrete_pattern_completion,medium,10000,9224,5,classification,0.6991666666666667,0.7149
TRANSFORMER_ENCDEC,discrete_pattern_completion,medium,10000,9224,6,classification,0.7118333333333333,0.7162999999999999
TRANSFORMER_ENCDEC,discrete_pattern_completion,medium,10000,9224,7,classification,0.7028333333333333,0.7087666666666667
TRANSFORMER_ENCDEC,discrete_pattern_completion,medium,10000,9224,8,classification,0.7113333333333334,0.7196666666666667
TRANSFORMER_ENCDEC,discrete_pattern_completion,medium,10000,9224,9,classification,0.7051666666666667,0.7154
TRANSFORMER_ENCDEC,continuous_pattern_completion,medium,10000,8941,0,regression,0.07687270302062121,0.0765297408935144
TRANSFORMER_ENCDEC,continuous_pattern_completion,medium,10000,8941,1,regression,0.08093604642100084,0.07756044578044971
TRANSFORMER_ENCDEC,continuous_pattern_completion,medium,10000,8941,2,regression,0.08144540713204812,0.08245673407536745
TRANSFORMER_ENCDEC,continuous_pattern_completion,medium,10000,8941,3,regression,0.07616177177276032,0.07637554892399454
TRANSFORMER_ENCDEC,continuous_pattern_completion,medium,10000,8941,4,regression,0.07658475885456512,0.07710233413040972
TRANSFORMER_ENCDEC,continuous_pattern_completion,medium,10000,8941,5,regression,0.07426708360814305,0.07569308492048164
TRANSFORMER_ENCDEC,continuous_pattern_completion,medium,10000,8941,6,regression,0.0761914968728551,0.0761607308313825
TRANSFORMER_ENCDEC,continuous_pattern_completion,medium,10000,8941,7,regression,0.07545535880711607,0.07581467936730409
TRANSFORMER_ENCDEC,continuous_pattern_completion,medium,10000,8941,8,regression,0.07749542511258493,0.07633378873845181
TRANSFORMER_ENCDEC,continuous_pattern_completion,medium,10000,8941,9,regression,0.07643473644099993,0.07609532785940702
TRANSFORMER_ENCDEC,bracket_matching,medium,10000,9002,0,classification,0.45999999999999996,0.499
TRANSFORMER_ENCDEC,bracket_matching,medium,10000,9002,1,classification,0.24,0.273
TRANSFORMER_ENCDEC,bracket_matching,medium,10000,9002,2,classification,0.49,0.484
TRANSFORMER_ENCDEC,bracket_matching,medium,10000,9002,3,classification,0.44999999999999996,0.511
TRANSFORMER_ENCDEC,bracket_matching,medium,10000,9002,4,classification,0.20499999999999996,0.262
TRANSFORMER_ENCDEC,bracket_matching,medium,10000,9002,5,classification,0.5,0.505
TRANSFORMER_ENCDEC,bracket_matching,medium,10000,9002,6,classification,0.365,0.349
TRANSFORMER_ENCDEC,bracket_matching,medium,10000,9002,7,classification,0.45999999999999996,0.506
TRANSFORMER_ENCDEC,bracket_matching,medium,10000,9002,8,classification,0.42000000000000004,0.45299999999999996
TRANSFORMER_ENCDEC,bracket_matching,medium,10000,9002,9,classification,0.495,0.5
TRANSFORMER_ENCDEC,simple_copy,medium,10000,9224,0,classification,0.0,0.0
TRANSFORMER_ENCDEC,simple_copy,medium,10000,9224,1,classification,0.0,0.0
TRANSFORMER_ENCDEC,simple_copy,medium,10000,9224,2,classification,0.0,0.0
TRANSFORMER_ENCDEC,simple_copy,medium,10000,9224,3,classification,0.0,0.0
TRANSFORMER_ENCDEC,simple_copy,medium,10000,9224,4,classification,0.0,0.0
TRANSFORMER_ENCDEC,simple_copy,medium,10000,9224,5,classification,0.0,0.0
TRANSFORMER_ENCDEC,simple_copy,medium,10000,9224,6,classification,0.8712,0.87414
TRANSFORMER_ENCDEC,simple_copy,medium,10000,9224,7,classification,0.0,0.0
TRANSFORMER_ENCDEC,simple_copy,medium,10000,9224,8,classification,0.0,0.0
TRANSFORMER_ENCDEC,simple_copy,medium,10000,9224,9,classification,0.0,0.0
TRANSFORMER_ENCDEC,selective_copy,medium,10000,9248,0,classification,0.11650000000000005,0.121
TRANSFORMER_ENCDEC,selective_copy,medium,10000,9248,1,classification,0.868,0.8694
TRANSFORMER_ENCDEC,selective_copy,medium,10000,9248,2,classification,0.858,0.8821
TRANSFORMER_ENCDEC,selective_copy,medium,10000,9248,3,classification,0.8645,0.8723
TRANSFORMER_ENCDEC,selective_copy,medium,10000,9248,4,classification,0.865,0.8718
TRANSFORMER_ENCDEC,selective_copy,medium,10000,9248,5,classification,0.865,0.8746
TRANSFORMER_ENCDEC,selective_copy,medium,10000,9248,6,classification,0.858,0.8701
TRANSFORMER_ENCDEC,selective_copy,medium,10000,9248,7,classification,0.05500000000000005,0.060699999999999976
TRANSFORMER_ENCDEC,selective_copy,medium,10000,9248,8,classification,0.86,0.8733
TRANSFORMER_ENCDEC,selective_copy,medium,10000,9248,9,classification,0.86,0.8691
TRANSFORMER_ENCDEC,adding_problem,medium,10000,9339,0,classification,0.905,0.897
TRANSFORMER_ENCDEC,adding_problem,medium,10000,9339,1,classification,0.845,0.877
TRANSFORMER_ENCDEC,adding_problem,medium,10000,9339,2,classification,0.84,0.879
TRANSFORMER_ENCDEC,adding_problem,medium,10000,9339,3,classification,0.9,0.892
TRANSFORMER_ENCDEC,adding_problem,medium,10000,9339,4,classification,0.87,0.906
TRANSFORMER_ENCDEC,adding_problem,medium,10000,9339,5,classification,0.88,0.886
TRANSFORMER_ENCDEC,adding_problem,medium,10000,9339,6,classification,0.895,0.874
TRANSFORMER_ENCDEC,adding_problem,medium,10000,9339,7,classification,0.89,0.9
TRANSFORMER_ENCDEC,adding_problem,medium,10000,9339,8,classification,0.86,0.882
TRANSFORMER_ENCDEC,adding_problem,medium,10000,9339,9,classification,0.88,0.875
TRANSFORMER_ENCDEC,sorting_problem,medium,10000,9704,0,classification,0.0,4.999999999999449e-05
TRANSFORMER_ENCDEC,sorting_problem,medium,10000,9704,1,classification,0.0,4.999999999999449e-05
TRANSFORMER_ENCDEC,sorting_problem,medium,10000,9704,2,classification,0.0,0.0
TRANSFORMER_ENCDEC,sorting_problem,medium,10000,9704,3,classification,0.0,0.0
TRANSFORMER_ENCDEC,sorting_problem,medium,10000,9704,4,classification,0.0,0.00019999999999997797
